"","HA","vs","played","sched","cumulative"
"1","H","Pac","yes","-0.16","-0.16"
"2","A","Bel","yes","-0.02","-0.18"
"3","H","Pto","yes","0.33","0.15"
"4","A","Bra","yes","0.28","0.43"
"5","H","Gil","yes","-0.14","0.29"
"6","A","Mor","yes","0.07","0.36"
"7","H","Set","yes","-0.16","0.20"
"8","A","Ton","yes","-0.04","0.16"
"9","H","Pse","yes","-0.20","-0.04"
"10","H","Rio","yes","-0.04","-0.08"
"11","A","SCl","yes","0.08","-0.00"
"12","H","Mar","yes","-0.17","-0.18"
"13","A","Boa","yes","0.06","-0.11"
"14","H","Fam","yes","-0.03","-0.14"
"15","A","Gui","yes","0.13","-0.02"
"16","H","Ave","yes","-0.26","-0.28"
"17","A","Spo","yes","0.29","0.01"
"18","A","Pac","yes","-0.01","-0.00"
"19","H","Bel","yes","-0.17","-0.17"
"20","A","Pto","yes","0.62","0.45"
"21","H","Bra","yes","0.02","0.47"
"22","A","Gil","yes","0.02","0.49"
"23","H","Mor","yes","-0.12","0.38"
"24","A","Set","yes","-0.01","0.37"
"25","H","Ton","yes","-0.18","0.19"
"26","A","Pse","yes","-0.08","0.11"
"27","A","Rio","yes","0.19","0.30"
"28","H","SCl","yes","-0.11","0.19"
"29","A","Mar","yes","-0.03","0.17"
"30","H","Boa","no","-0.12","0.04"
"31","A","Fam","no","0.21","0.25"
"32","H","Gui","no","-0.08","0.17"
"33","A","Ave","no","-0.20","-0.03"
"34","H","Spo","no","0.03","-0.00"
