"","HA","vs","played","sched","cumulative"
"1","A","Ben","yes","0.81","0.81"
"2","H","SCl","yes","-0.24","0.57"
"3","A","Boa","yes","0.05","0.61"
"4","H","Mar","yes","-0.65","-0.04"
"5","A","Fam","yes","0.48","0.44"
"6","H","Ave","yes","-1.19","-0.75"
"7","A","Gui","yes","0.37","-0.37"
"8","H","Rio","yes","-0.00","-0.38"
"9","H","Spo","yes","0.11","-0.27"
"10","A","Bel","yes","0.07","-0.19"
"11","H","Ton","yes","-0.51","-0.71"
"12","A","Pto","yes","0.84","0.13"
"13","H","Set","yes","-0.39","-0.26"
"14","A","Bra","yes","0.59","0.33"
"15","H","Mor","yes","-0.29","0.04"
"16","A","Pse","yes","-0.27","-0.23"
"17","H","Gil","yes","-0.36","-0.59"
"18","H","Ben","yes","0.62","0.03"
"19","A","SCl","yes","0.24","0.27"
"20","H","Boa","yes","-0.47","-0.20"
"21","A","Mar","yes","-0.13","-0.33"
"22","H","Fam","yes","0.07","-0.26"
"23","A","Ave","yes","-0.76","-1.02"
"24","H","Gui","yes","-0.07","-1.09"
"25","A","Rio","yes","0.43","-0.67"
"26","A","Spo","no","0.50","-0.16"
"27","H","Bel","no","-0.44","-0.60"
"28","A","Ton","no","0.00","-0.60"
"29","H","Pto","no","0.68","0.08"
"30","A","Set","no","0.12","0.20"
"31","H","Bra","no","0.23","0.44"
"32","A","Mor","no","0.20","0.64"
"33","H","Pse","no","-0.78","-0.14"
"34","A","Gil","no","0.14","-0.00"
