"","HA","vs","played","sched","cumulative"
"1","H","Ton","yes","-0.56","-0.56"
"2","A","Pto","yes","0.82","0.26"
"3","H","Mor","yes","-0.27","-0.01"
"4","A","Gil","yes","0.11","0.10"
"5","H","Bra","yes","0.12","0.22"
"6","H","Pse","yes","-0.58","-0.37"
"7","A","Ben","yes","0.74","0.38"
"8","H","Mar","yes","-0.52","-0.14"
"9","A","SCl","yes","0.23","0.09"
"10","H","Boa","yes","-0.29","-0.20"
"11","A","Rio","yes","0.45","0.25"
"12","H","Gui","yes","-0.12","0.14"
"13","A","Pac","yes","0.01","0.14"
"14","H","Ave","yes","-1.07","-0.93"
"15","A","Fam","yes","0.39","-0.54"
"16","H","Spo","yes","0.17","-0.37"
"17","A","Bel","yes","-0.02","-0.39"
"18","A","Ton","yes","-0.06","-0.46"
"19","H","Pto","yes","0.63","0.17"
"20","A","Mor","yes","0.21","0.38"
"21","H","Gil","yes","-0.38","-0.00"
"22","A","Bra","yes","0.51","0.51"
"23","A","Pse","yes","-0.09","0.42"
"24","H","Ben","yes","0.49","0.91"
"25","A","Mar","yes","-0.02","0.89"
"26","H","SCl","yes","-0.25","0.64"
"27","A","Boa","yes","0.19","0.84"
"28","H","Rio","yes","0.03","0.87"
"29","A","Gui","yes","0.34","1.20"
"30","H","Pac","no","-0.49","0.72"
"31","A","Ave","no","-0.70","0.02"
"32","H","Fam","no","-0.05","-0.03"
"33","A","Spo","no","0.55","0.51"
"34","H","Bel","no","-0.51","-0.00"
