"","longnames","Pld","GD","Pts","rank","rank+","ePld","Rate"
"Spo","Sporting Lisbon",29,37,73,1,1,28.9,2.53
"Pto","FC Porto",29,33,67,2,2,28.9,2.32
"Ben","Benfica",29,35,63,3,3,30.1,2.09
"Bra","Sporting Braga",30,19,58,4,4,29.6,1.96
"Pac","Paços de Ferreira",30,0,48,5,5,30.4,1.58
"Gui","Vitória Guimarães",29,-6,38,6,6,29,1.31
"SCl","Santa Clara",29,2,36,8,7,27.5,1.31
"Mor","Moreirense",29,-7,36,7,8,28.9,1.25
"Ton","Tondela",29,-15,35,9,9,28,1.25
"Pse","Portimonense",29,-4,33,11,10,28.5,1.16
"Bel","Belenenses",30,-7,34,10,11,30.4,1.12
"Fam","FC Famalicão",29,-9,31,13,12,28.6,1.08
"Gil","Gil Vicente",29,-11,31,14,13,29.2,1.06
"Mar","Marítimo",30,-15,33,12,14,31.3,1.05
"Boa","Boavista",29,-11,28,16,15,28.1,1
"Rio","Rio Ave",29,-10,30,15,16,30.4,0.99
"Far","SC Farense",29,-10,26,17,17,28.6,0.91
"Nac","CD Nacional",29,-21,24,18,18,29.3,0.82
