"","HA","vs","played","Pts","ePts","sched","cumulative"
"1","A","Gui","yes",3,"1.04","0.03","0.03"
"2","H","Fam","yes",0,"1.27","-0.18","-0.16"
"3","A","Nac","yes",1,"1.51","-0.42","-0.57"
"4","H","Mor","yes",1,"1.21","-0.13","-0.70"
"5","A","Ben","yes",0,"0.40","0.63","-0.07"
"6","H","Far","yes",1,"1.66","-0.55","-0.63"
"7","H","Rio","yes",1,"1.61","-0.50","-1.13"
"8","A","Boa","yes",1,"1.12","-0.05","-1.18"
"9","H","Bra","yes",3,"0.63","0.41","-0.77"
"10","A","Mar","yes",0,"1.39","-0.30","-1.07"
"11","H","Spo","yes",0,"0.23","0.79","-0.28"
"12","A","Gil","yes",1,"1.25","-0.17","-0.45"
"13","H","Pac","yes",0,"1.52","-0.43","-0.88"
"14","A","Pse","yes",0,"0.77","0.28","-0.60"
"15","H","Ton","yes",3,"1.98","-0.85","-1.45"
"16","A","SCl","yes",0,"0.89","0.17","-1.28"
"17","H","Pto","yes",1,"0.32","0.70","-0.57"
"18","H","Gui","yes",1,"0.92","0.14","-0.43"
"19","A","Fam","yes",1,"1.41","-0.32","-0.76"
"20","H","Nac","yes",3,"1.85","-0.73","-1.48"
"21","A","Mor","yes",1,"1.14","-0.06","-1.55"
"22","H","Ben","yes",0,"0.59","0.45","-1.10"
"23","A","Far","yes",3,"1.33","-0.25","-1.35"
"24","A","Rio","yes",1,"1.20","-0.12","-1.47"
"25","H","Boa","yes",0,"1.60","-0.50","-1.96"
"26","A","Bra","yes",1,"0.33","0.69","-1.27"
"27","H","Mar","yes",3,"1.63","-0.53","-1.80"
"28","A","Spo","yes",1,"0.22","0.80","-1.00"
"29","H","Gil","no",NA,"1.22","-0.14","-1.14"
"30","A","Pac","no",NA,"0.35","0.67","-0.47"
"31","H","Pse","no",NA,"1.71","-0.60","-1.07"
"32","A","Ton","no",NA,"0.54","0.49","-0.58"
"33","H","SCl","no",NA,"1.24","-0.16","-0.74"
"34","A","Pto","no",NA,"0.28","0.74","0.00"
