"","HA","vs","played","Pts","GD","ePts","sched","cumulative"
"1","H","Ben","yes",0,-4,"0.28","0.74","0.74"
"2","A","Bel","yes",3,1,"1.39","-0.30","0.44"
"3","H","Rio","yes",1,0,"1.13","-0.07","0.37"
"4","A","Far","yes",1,0,"1.82","-0.71","-0.34"
"5","H","Boa","yes",1,0,"1.10","-0.03","-0.37"
"6","A","Bra","yes",0,-1,"0.61","0.43","0.06"
"7","H","Mar","yes",3,1,"1.04","0.03","0.08"
"8","A","Pac","yes",0,-2,"0.57","0.47","0.55"
"9","H","Spo","yes",1,0,"0.11","0.90","1.45"
"10","A","Pse","yes",1,0,"1.24","-0.17","1.28"
"11","H","Gil","yes",0,-1,"0.89","0.17","1.45"
"12","A","Ton","yes",0,-1,"0.93","0.13","1.58"
"13","H","Pto","yes",0,-3,"0.23","0.79","2.36"
"14","A","SCl","yes",3,1,"1.34","-0.26","2.11"
"15","H","Gui","yes",0,-1,"0.72","0.32","2.43"
"16","A","Nac","yes",0,-1,"1.80","-0.69","1.74"
"17","H","Mor","yes",0,-2,"0.86","0.19","1.93"
"18","A","Ben","yes",0,-2,"0.63","0.41","2.34"
"19","H","Bel","yes",1,0,"1.18","-0.11","2.23"
"20","A","Rio","yes",3,1,"1.70","-0.59","1.64"
"21","H","Far","yes",1,0,"1.20","-0.13","1.51"
"22","A","Boa","yes",0,-3,"1.71","-0.61","0.91"
"23","H","Bra","yes",1,0,"0.45","0.58","1.48"
"24","A","Mar","yes",3,4,"1.66","-0.56","0.92"
"25","H","Pac","yes",3,2,"1.07","-0.00","0.92"
"26","A","Spo","yes",1,0,"0.39","0.64","1.55"
"27","H","Pse","yes",0,-1,"1.24","-0.17","1.39"
"28","A","Gil","yes",3,3,"1.82","-0.71","0.68"
"29","H","Ton","yes",1,0,"1.51","-0.41","0.26"
"30","A","Pto","yes",0,-1,"0.39","0.64","0.90"
"31","H","SCl","no",NA,NA,"0.85","0.20","1.10"
"32","A","Gui","no",NA,NA,"1.38","-0.30","0.80"
"33","H","Nac","no",NA,NA,"1.43","-0.34","0.46"
"34","A","Mor","no",NA,NA,"1.55","-0.46","0.00"
