"","HA","vs","played","Pts","ePts","sched","cumulative"
"1","A","Mor","yes",0,"1.09","-0.20","-0.20"
"2","H","Nac","yes",0,"1.55","-0.69","-0.89"
"3","A","Ben","yes",0,"0.38","0.59","-0.30"
"4","H","Fam","yes",1,"0.97","-0.06","-0.37"
"5","H","Rio","yes",0,"1.30","-0.42","-0.78"
"6","A","Bel","yes",1,"1.01","-0.11","-0.89"
"7","H","Boa","yes",3,"1.29","-0.41","-1.30"
"8","A","Bra","yes",0,"0.32","0.65","-0.64"
"9","H","Mar","yes",3,"1.32","-0.45","-1.09"
"10","A","Spo","yes",0,"0.20","0.78","-0.31"
"11","H","Pac","yes",1,"1.21","-0.33","-0.64"
"12","A","Pse","yes",0,"0.73","0.20","-0.44"
"13","H","Gil","yes",3,"0.93","-0.02","-0.46"
"14","H","Pto","yes",0,"0.22","0.76","0.30"
"15","A","Ton","yes",0,"0.52","0.44","0.73"
"16","H","SCl","yes",1,"0.95","-0.04","0.69"
"17","H","Mor","yes",0,"0.92","-0.01","0.69"
"18","A","Nac","yes",3,"1.47","-0.61","0.08"
"19","A","Gui","yes",1,"1.00","-0.09","-0.01"
"20","H","Ben","yes",1,"0.42","0.54","0.53"
"21","A","Fam","yes",1,"1.37","-0.50","0.03"
"22","A","Rio","yes",0,"1.16","-0.26","-0.23"
"23","H","Bel","yes",0,"1.31","-0.43","-0.66"
"24","A","Boa","yes",3,"1.08","-0.18","-0.84"
"25","H","Bra","yes",0,"0.45","0.51","-0.33"
"26","A","Mar","yes",0,"1.35","-0.47","-0.80"
"27","H","Spo","yes",0,"0.16","0.83","0.02"
"28","A","Pac","yes",3,"0.33","0.64","0.66"
"29","H","Pse","no",NA,"1.40","-0.53","0.13"
"30","A","Gil","no",NA,"1.21","-0.32","-0.19"
"31","H","Gui","no",NA,"0.67","0.26","0.07"
"32","A","Pto","no",NA,"0.27","0.71","0.78"
"33","H","Ton","no",NA,"1.69","-0.85","-0.07"
"34","A","SCl","no",NA,"0.85","0.07","0.00"
