"","HA","vs","played","Pts","GD","ePts","sched","cumulative"
"1","H","Mar","yes",3,2,"1.89","-0.45","-0.45"
"2","A","Bra","yes",3,1,"0.55","0.58","0.13"
"3","H","Gil","yes",1,0,"1.50","-0.15","-0.03"
"4","A","Pac","yes",0,-1,"0.67","0.49","0.46"
"5","H","Spo","yes",0,-1,"0.39","0.70","1.16"
"6","A","Pse","yes",3,1,"1.14","0.12","1.28"
"7","A","Ton","yes",0,-2,"0.76","0.41","1.69"
"8","H","Pto","yes",0,-1,"0.38","0.71","2.40"
"9","A","Nac","yes",3,2,"1.67","-0.28","2.12"
"10","H","Gui","yes",0,-4,"1.30","0.00","2.12"
"11","A","Mor","yes",0,-1,"1.50","-0.15","1.97"
"12","H","Ben","yes",1,0,"0.68","0.48","2.45"
"13","A","Boa","yes",1,0,"1.39","-0.07","2.38"
"14","H","Fam","yes",0,-1,"1.36","-0.04","2.34"
"15","A","Rio","yes",3,1,"1.57","-0.21","2.13"
"16","H","Bel","yes",3,2,"1.62","-0.24","1.88"
"17","A","Far","yes",1,0,"1.78","-0.37","1.52"
"18","A","Mar","yes",3,1,"1.75","-0.34","1.18"
"19","H","Bra","yes",0,-1,"0.72","0.45","1.62"
"20","A","Gil","yes",0,-1,"1.71","-0.31","1.31"
"21","H","Pac","yes",3,3,"1.72","-0.32","0.99"
"22","A","Spo","yes",0,-1,"0.32","0.75","1.74"
"23","H","Pse","yes",3,2,"1.76","-0.35","1.39"
"24","H","Ton","yes",1,0,"2.13","-0.64","0.75"
"25","A","Pto","yes",0,-1,"0.39","0.70","1.45"
"26","H","Nac","yes",3,4,"2.06","-0.58","0.87"
"27","A","Gui","yes",0,-1,"1.25","0.04","0.90"
"28","H","Mor","yes",1,0,"1.49","-0.15","0.76"
"29","A","Ben","yes",0,-1,"0.54","0.58","1.34"
"30","H","Boa","no",NA,NA,"1.54","-0.18","1.16"
"31","A","Fam","no",NA,NA,"1.81","-0.39","0.77"
"32","H","Rio","no",NA,NA,"1.80","-0.38","0.39"
"33","A","Bel","no",NA,NA,"1.29","0.01","0.40"
"34","H","Far","no",NA,NA,"1.83","-0.40","-0.00"
