"team","teamId","playedGames","goalDifference","points","rank"
"FC Porto",503,18,36,50,1
"Sporting Clube de Portugal",498,18,24,47,2
"Sport Lisboa e Benfica",1903,19,36,44,3
"Sporting Clube de Braga",5613,18,13,32,4
"Gil Vicente FC",5533,18,6,27,5
"GD Estoril Praia",582,17,4,25,6
"Portimonense SC",5601,18,0,25,7
"Vitória SC",5543,18,4,24,8
"CS Marítimo",5575,18,-4,23,9
"Boavista FC",810,19,-8,19,10
"FC Paços de Ferreira",507,19,-9,19,11
"CD Tondela",1049,18,-12,17,12
"CD Santa Clara",5530,18,-17,17,13
"Moreirense FC",583,18,-9,16,14
"FC Famalicão",5531,18,-10,16,15
"FC Vizela",5589,18,-14,16,16
"FC Arouca",712,18,-18,14,17
"Os Belenenses Futebol",5568,18,-22,11,18
