"","HA","vs","played","Pts","GD","ePts","sched","cumulative"
"1","A","Mor","yes",3,1,"2.40","-0.18","-0.18"
"2","H","Aro","yes",3,2,"2.12","-0.04","-0.22"
"3","A","Gil","yes",3,2,"2.21","-0.08","-0.30"
"4","H","Ton","yes",3,1,"2.29","-0.12","-0.42"
"5","A","SCl","yes",3,5,"2.08","-0.02","-0.44"
"6","H","Boa","yes",3,2,"2.36","-0.16","-0.60"
"7","A","Gui","yes",3,2,"2.09","-0.03","-0.63"
"8","H","Pse","yes",0,-1,"1.50","0.26","-0.36"
"9","A","Viz","yes",3,1,"2.47","-0.21","-0.58"
"10","A","Est","yes",1,0,"2.41","-0.18","-0.76"
"11","H","Bra","yes",3,5,"1.28","0.37","-0.39"
"12","A","Bel","yes",3,7,"2.51","-0.23","-0.62"
"13","H","Spo","yes",0,-2,"0.99","0.51","-0.11"
"14","A","Fam","yes",3,3,"2.41","-0.18","-0.29"
"15","H","Mar","yes",3,6,"1.90","0.07","-0.22"
"16","A","Pto","yes",0,-2,"0.86","0.58","0.35"
"17","H","Pac","yes",3,2,"2.04","-0.00","0.35"
"18","H","Mor","yes",1,0,"2.28","-0.12","0.24"
"19","A","Aro","yes",3,2,"2.50","-0.23","0.01"
"20","H","Gil","yes",0,-1,"1.43","0.30","0.31"
"21","A","Ton","yes",3,2,"2.44","-0.20","0.11"
"22","H","SCl","yes",3,1,"2.42","-0.19","-0.08"
"23","A","Boa","yes",1,0,"2.34","-0.15","-0.23"
"24","H","Gui","no",NA,NA,"2.17","-0.07","-0.29"
"25","A","Pse","no",NA,NA,"2.62","-0.28","-0.58"
"26","H","Viz","no",NA,NA,"2.14","-0.05","-0.63"
"27","H","Est","no",NA,NA,"1.77","0.13","-0.50"
"28","A","Bra","no",NA,NA,"2.02","0.01","-0.49"
"29","H","Bel","no",NA,NA,"2.49","-0.22","-0.71"
"30","A","Spo","no",NA,NA,"1.26","0.38","-0.33"
"31","H","Fam","no",NA,NA,"2.00","0.02","-0.31"
"32","A","Mar","no",NA,NA,"2.37","-0.16","-0.47"
"33","H","Pto","no",NA,NA,"0.66","0.67","0.20"
"34","A","Pac","no",NA,NA,"2.45","-0.20","-0.00"
