"","HA","vs","played","Pts","GD","ePts","sched","cumulative"
"1","A","Gil","yes",0,-3,"1.03","0.05","0.05"
"2","H","Pac","yes",3,3,"1.71","-0.58","-0.54"
"3","H","SCl","yes",3,2,"2.15","-0.99","-1.53"
"4","A","Viz","yes",1,0,"0.90","0.16","-1.37"
"5","H","Pse","yes",1,0,"0.77","0.28","-1.08"
"6","A","Ben","yes",0,-2,"0.37","0.66","-0.43"
"7","H","Est","yes",1,0,"0.76","0.29","-0.13"
"8","A","Bra","yes",1,0,"0.60","0.44","0.31"
"9","H","Bel","yes",1,0,"1.80","-0.67","-0.36"
"10","A","Pto","yes",0,-3,"0.25","0.77","0.41"
"11","H","Fam","yes",0,-3,"1.49","-0.39","0.02"
"12","A","Aro","yes",0,-1,"0.57","0.47","0.49"
"13","H","Mar","no",NA,NA,"1.79","-0.67","-0.18"
"14","A","Spo","no",NA,NA,"0.27","0.75","0.57"
"15","H","Mor","no",NA,NA,"1.87","-0.73","-0.16"
"16","A","Gui","no",NA,NA,"0.62","0.42","0.26"
"17","H","Ton","no",NA,NA,"1.78","-0.66","-0.39"
"18","H","Gil","no",NA,NA,"1.42","-0.31","-0.71"
"19","A","Pac","no",NA,NA,"0.88","0.18","-0.53"
"20","A","SCl","no",NA,NA,"0.93","0.13","-0.39"
"21","H","Viz","no",NA,NA,"1.84","-0.71","-1.10"
"22","A","Pse","no",NA,NA,"0.96","0.11","-1.00"
"23","H","Ben","no",NA,NA,"0.54","0.50","-0.49"
"24","A","Est","no",NA,NA,"0.71","0.34","-0.15"
"25","H","Bra","no",NA,NA,"1.12","-0.04","-0.20"
"26","A","Bel","no",NA,NA,"1.16","-0.08","-0.28"
"27","H","Pto","no",NA,NA,"0.75","0.30","0.03"
"28","A","Fam","no",NA,NA,"1.16","-0.08","-0.05"
"29","H","Aro","no",NA,NA,"1.89","-0.76","-0.81"
"30","A","Mar","no",NA,NA,"0.97","0.10","-0.71"
"31","H","Spo","no",NA,NA,"0.63","0.42","-0.30"
"32","A","Mor","no",NA,NA,"0.92","0.14","-0.15"
"33","H","Gui","no",NA,NA,"1.36","-0.26","-0.42"
"34","A","Ton","no",NA,NA,"0.63","0.42","0.00"
