"","HA","vs","played","Pts","GD","ePts","sched","cumulative"
"1","A","Mar","yes",3,2,"2.06","-0.16","-0.16"
"2","H","Spo","yes",0,-1,"0.76","0.57","0.41"
"3","A","Mor","yes",3,1,"2.13","-0.20","0.21"
"4","H","Gui","yes",1,0,"1.98","-0.12","0.09"
"5","A","Pac","yes",1,0,"2.02","-0.14","-0.05"
"6","H","Ton","yes",3,2,"2.19","-0.24","-0.28"
"7","A","SCl","yes",1,0,"1.62","0.09","-0.20"
"8","H","Boa","yes",1,0,"2.01","-0.14","-0.33"
"9","A","Gil","yes",3,1,"1.81","-0.02","-0.35"
"10","H","Pse","yes",3,3,"1.66","0.06","-0.29"
"11","A","Ben","yes",0,-5,"1.34","0.25","-0.04"
"12","H","Viz","yes",3,3,"1.95","-0.10","-0.14"
"13","H","Est","yes",3,2,"1.71","0.04","-0.10"
"14","A","Pto","yes",0,-1,"0.60","0.66","0.56"
"15","H","Bel","yes",3,1,"2.37","-0.34","0.22"
"16","A","Aro","yes",3,6,"2.09","-0.18","0.05"
"17","H","Fam","yes",1,0,"1.97","-0.11","-0.06"
"18","H","Mar","yes",0,-1,"1.70","0.04","-0.02"
"19","A","Spo","yes",3,1,"0.75","0.58","0.56"
"20","H","Mor","yes",3,2,"2.23","-0.26","0.30"
"21","A","Gui","yes",0,-1,"1.60","0.10","0.40"
"22","H","Pac","yes",3,1,"1.84","-0.04","0.36"
"23","A","Ton","yes",3,1,"2.15","-0.21","0.15"
"24","H","SCl","yes",1,0,"2.30","-0.30","-0.15"
"25","A","Boa","yes",1,0,"1.96","-0.10","-0.25"
"26","H","Gil","yes",0,-1,"1.29","0.27","0.02"
"27","A","Pse","yes",3,1,"2.36","-0.33","-0.31"
"28","H","Ben","yes",3,1,"0.89","0.50","0.19"
"29","A","Viz","no",NA,NA,"2.12","-0.19","-0.00"
"30","A","Est","no",NA,NA,"2.08","-0.17","-0.18"
"31","H","Pto","no",NA,NA,"0.51","0.71","0.54"
"32","A","Bel","no",NA,NA,"2.08","-0.17","0.37"
"33","H","Aro","no",NA,NA,"2.05","-0.15","0.21"
"34","A","Fam","no",NA,NA,"2.15","-0.21","0.00"
