"","HA","vs","played","Pts","GD","ePts","sched","cumulative"
"1","A","Aro","yes",3,2,"1.63","-0.21","-0.21"
"2","H","Gui","yes",1,0,"1.38","-0.03","-0.24"
"3","A","Pac","yes",3,2,"1.89","-0.41","-0.65"
"4","H","Mar","yes",3,1,"1.34","0.00","-0.65"
"5","A","Ton","yes",3,1,"1.63","-0.21","-0.86"
"6","H","Spo","yes",0,-1,"0.49","0.64","-0.22"
"7","A","Boa","yes",1,0,"1.54","-0.15","-0.37"
"8","H","Gil","yes",1,0,"1.00","0.25","-0.12"
"9","A","Pse","yes",3,2,"1.97","-0.47","-0.59"
"10","H","Ben","yes",1,0,"0.38","0.72","0.13"
"11","A","Viz","yes",1,0,"1.82","-0.36","-0.23"
"12","H","SCl","yes",1,0,"1.94","-0.45","-0.67"
"13","A","Bra","yes",0,-2,"1.23","0.08","-0.59"
"14","A","Bel","yes",3,1,"1.89","-0.40","-0.99"
"15","H","Fam","yes",1,0,"1.48","-0.10","-1.09"
"16","A","Mor","yes",0,-1,"1.73","-0.29","-1.38"
"17","H","Pto","yes",0,-1,"0.37","0.72","-0.66"
"18","A","Gui","yes",0,-2,"1.14","0.15","-0.52"
"19","H","Aro","no",NA,NA,"1.89","-0.41","-0.93"
"20","H","Pac","no",NA,NA,"1.44","-0.07","-1.00"
"21","A","Mar","no",NA,NA,"1.43","-0.07","-1.07"
"22","H","Ton","no",NA,NA,"1.71","-0.27","-1.34"
"23","A","Spo","no",NA,NA,"0.58","0.57","-0.77"
"24","H","Boa","no",NA,NA,"1.76","-0.31","-1.08"
"25","A","Gil","no",NA,NA,"1.49","-0.11","-1.19"
"26","H","Pse","no",NA,NA,"0.65","0.51","-0.68"
"27","A","Ben","no",NA,NA,"0.93","0.31","-0.37"
"28","H","Viz","no",NA,NA,"1.41","-0.05","-0.42"
"29","A","SCl","no",NA,NA,"1.26","0.06","-0.35"
"30","H","Bra","no",NA,NA,"0.64","0.53","0.18"
"31","H","Bel","no",NA,NA,"1.98","-0.47","-0.30"
"32","A","Fam","no",NA,NA,"1.83","-0.36","-0.66"
"33","H","Mor","no",NA,NA,"1.54","-0.15","-0.81"
"34","A","Pto","no",NA,NA,"0.26","0.81","0.00"
