"","HA","vs","played","Pts","GD","ePts","sched","cumulative"
"1","A","Pac","yes",0,-2,"1.35","-0.30","-0.30"
"2","H","Pto","yes",0,-1,"0.29","0.72","0.42"
"3","A","Aro","yes",0,-1,"1.17","-0.13","0.29"
"4","H","Spo","yes",1,0,"0.36","0.65","0.95"
"5","A","Mor","yes",1,0,"1.13","-0.09","0.85"
"6","H","Mar","yes",1,0,"1.19","-0.15","0.70"
"7","A","Ton","yes",0,-1,"1.16","-0.12","0.59"
"8","H","Gui","yes",0,-1,"1.42","-0.37","0.22"
"9","A","SCl","yes",3,2,"0.73","0.30","0.52"
"10","H","Viz","yes",1,0,"1.26","-0.22","0.30"
"11","A","Boa","yes",3,3,"1.09","-0.05","0.25"
"12","H","Pse","yes",0,-3,"0.73","0.30","0.55"
"13","A","Gil","yes",0,-4,"0.93","0.10","0.65"
"14","H","Ben","yes",0,-3,"0.28","0.73","1.38"
"15","A","Est","yes",1,0,"1.19","-0.14","1.24"
"16","A","Bra","yes",1,0,"0.68","0.34","1.58"
"17","H","Bel","yes",3,1,"1.85","-0.79","0.80"
"18","H","Pac","yes",1,0,"1.37","-0.32","0.48"
"19","A","Pto","yes",0,-2,"0.17","0.84","1.31"
"20","H","Aro","yes",1,0,"1.53","-0.48","0.84"
"21","A","Spo","yes",0,-2,"0.33","0.69","1.52"
"22","H","Mor","yes",3,5,"1.53","-0.48","1.05"
"23","A","Mar","no",NA,NA,"1.04","-0.00","1.04"
"24","H","Ton","no",NA,NA,"1.47","-0.42","0.62"
"25","A","Gui","no",NA,NA,"0.62","0.41","1.03"
"26","H","SCl","no",NA,NA,"1.79","-0.72","0.31"
"27","A","Viz","no",NA,NA,"1.26","-0.21","0.10"
"28","H","Boa","no",NA,NA,"1.67","-0.61","-0.51"
"29","A","Pse","no",NA,NA,"1.59","-0.54","-1.05"
"30","H","Gil","no",NA,NA,"0.69","0.34","-0.71"
"31","A","Ben","no",NA,NA,"0.63","0.40","-0.31"
"32","H","Est","no",NA,NA,"0.92","0.12","-0.20"
"33","A","Bel","no",NA,NA,"1.24","-0.20","-0.39"
"34","H","Bra","no",NA,NA,"0.63","0.39","0.00"
