"","HA","vs","played","Pts","GD","ePts","sched","cumulative"
"1","H","Boa","yes",3,3,"1.90","-0.17","-0.17"
"2","A","Pse","yes",3,1,"2.29","-0.42","-0.59"
"3","H","Ben","yes",0,-2,"0.55","0.66","0.07"
"4","A","SCl","yes",0,-1,"1.45","0.10","0.17"
"5","H","Viz","yes",1,0,"1.80","-0.12","0.05"
"6","A","Bel","yes",1,0,"2.12","-0.31","-0.26"
"7","H","Pto","yes",0,-1,"0.40","0.76","0.49"
"8","A","Est","yes",1,0,"1.93","-0.20","0.30"
"9","H","Bra","yes",0,-1,"0.97","0.40","0.70"
"10","A","Mar","yes",3,1,"1.90","-0.18","0.52"
"11","H","Aro","yes",1,0,"1.77","-0.10","0.42"
"12","A","Mor","yes",1,0,"2.02","-0.25","0.17"
"13","H","Fam","yes",3,4,"1.68","-0.04","0.13"
"14","A","Pac","yes",3,1,"2.04","-0.26","-0.13"
"15","H","Spo","yes",0,-3,"0.68","0.58","0.45"
"16","A","Ton","yes",3,3,"2.05","-0.27","0.18"
"17","H","Gui","yes",3,1,"1.86","-0.15","0.03"
"18","A","Boa","yes",1,0,"1.85","-0.14","-0.12"
"19","H","Pse","yes",3,1,"1.27","0.21","0.10"
"20","A","Ben","yes",3,1,"1.35","0.16","0.26"
"21","H","SCl","yes",1,0,"2.09","-0.30","-0.04"
"22","A","Viz","yes",3,1,"2.03","-0.26","-0.29"
"23","H","Bel","yes",3,2,"2.21","-0.37","-0.66"
"24","A","Pto","yes",1,0,"0.58","0.64","-0.02"
"25","H","Est","yes",1,0,"1.39","0.14","0.12"
"26","A","Bra","no",NA,NA,"1.53","0.05","0.18"
"27","H","Mar","no",NA,NA,"1.41","0.13","0.30"
"28","A","Aro","no",NA,NA,"2.15","-0.33","-0.03"
"29","H","Mor","no",NA,NA,"1.95","-0.21","-0.24"
"30","A","Fam","no",NA,NA,"2.01","-0.25","-0.49"
"31","H","Pac","no",NA,NA,"1.58","0.02","-0.46"
"32","A","Spo","no",NA,NA,"0.69","0.57","0.11"
"33","H","Ton","no",NA,NA,"1.96","-0.21","-0.10"
"34","A","Gui","no",NA,NA,"1.45","0.10","-0.00"
