"","HA","vs","played","Pts","GD","ePts","sched","cumulative"
"1","H","Pse","yes",0,-1,"1.58","-0.19","-0.19"
"2","A","Est","yes",1,0,"1.14","0.14","-0.05"
"3","H","Viz","yes",3,4,"1.99","-0.50","-0.55"
"4","A","Bra","yes",1,0,"0.72","0.45","-0.09"
"5","H","Bel","yes",1,0,"2.32","-0.75","-0.84"
"6","A","Aro","yes",1,0,"1.41","-0.06","-0.91"
"7","H","Ben","yes",0,-2,"0.83","0.38","-0.53"
"8","A","Fam","yes",3,1,"1.24","0.07","-0.46"
"9","H","Mar","yes",3,1,"1.62","-0.22","-0.68"
"10","A","Spo","yes",0,-1,"0.28","0.79","0.10"
"11","H","Mor","yes",3,1,"2.17","-0.64","-0.54"
"12","A","Pto","yes",0,-1,"0.22","0.84","0.30"
"13","A","Pac","yes",3,1,"1.17","0.12","0.42"
"14","H","Ton","yes",3,3,"2.13","-0.61","-0.19"
"15","A","SCl","yes",0,-1,"0.79","0.41","0.22"
"16","H","Boa","yes",1,0,"2.06","-0.55","-0.33"
"17","A","Gil","yes",0,-1,"0.95","0.28","-0.05"
"18","A","Pse","yes",1,0,"1.62","-0.22","-0.27"
"19","H","Est","yes",3,2,"1.64","-0.24","-0.50"
"20","A","Viz","yes",0,-1,"1.28","0.04","-0.47"
"21","H","Bra","yes",3,1,"1.12","0.16","-0.31"
"22","A","Bel","yes",0,-1,"1.23","0.07","-0.24"
"23","H","Aro","yes",0,-2,"1.97","-0.48","-0.72"
"24","A","Ben","yes",0,-3,"0.58","0.56","-0.16"
"25","H","Fam","yes",3,1,"1.90","-0.43","-0.60"
"26","A","Mar","yes",3,1,"1.21","0.09","-0.51"
"27","H","Spo","yes",0,-2,"0.70","0.47","-0.04"
"28","A","Mor","no",NA,NA,"1.28","0.04","-0.00"
"29","H","Pto","no",NA,NA,"0.47","0.65","0.65"
"30","H","Pac","no",NA,NA,"1.77","-0.33","0.32"
"31","A","Ton","no",NA,NA,"1.32","0.00","0.32"
"32","H","SCl","no",NA,NA,"2.24","-0.69","-0.37"
"33","A","Boa","no",NA,NA,"1.09","0.18","-0.19"
"34","H","Gil","no",NA,NA,"1.07","0.19","-0.00"
