"","HA","vs","played","Pts","GD","ePts","sched","cumulative"
"1","H","Bra","yes",0,-2,"0.71","0.43","0.43"
"2","A","Bel","yes",3,1,"1.68","-0.36","0.07"
"3","H","Pto","yes",1,0,"0.27","0.78","0.85"
"4","A","Est","yes",0,-1,"1.45","-0.17","0.68"
"5","H","Aro","yes",1,0,"1.46","-0.18","0.50"
"6","A","Fam","yes",1,0,"1.55","-0.25","0.25"
"7","A","Spo","yes",0,-1,"0.41","0.67","0.91"
"8","H","Mor","yes",1,0,"1.71","-0.38","0.53"
"9","A","Gui","yes",0,-1,"1.04","0.16","0.69"
"10","H","Gil","yes",0,-1,"0.65","0.48","1.17"
"11","A","Ton","yes",0,-2,"1.64","-0.32","0.85"
"12","H","Pac","yes",3,2,"1.25","-0.01","0.84"
"13","A","Boa","yes",1,0,"1.38","-0.11","0.72"
"14","H","SCl","yes",3,3,"1.80","-0.45","0.27"
"15","A","Ben","yes",0,-6,"0.82","0.34","0.61"
"16","H","Viz","yes",3,2,"1.48","-0.20","0.41"
"17","A","Pse","yes",3,1,"1.89","-0.53","-0.11"
"18","A","Bra","yes",3,1,"1.11","0.10","-0.01"
"19","H","Bel","yes",1,0,"1.89","-0.53","-0.54"
"20","A","Pto","yes",0,-1,"0.31","0.75","0.21"
"21","H","Est","yes",1,0,"1.12","0.10","0.30"
"22","A","Aro","yes",3,3,"1.73","-0.40","-0.09"
"23","H","Fam","yes",0,-1,"1.38","-0.12","-0.21"
"24","H","Spo","yes",1,0,"0.40","0.68","0.47"
"25","A","Mor","yes",3,1,"1.59","-0.29","0.18"
"26","H","Gui","yes",0,-1,"1.41","-0.13","0.05"
"27","A","Gil","yes",1,0,"1.25","-0.01","0.04"
"28","H","Ton","no",NA,NA,"1.66","-0.34","-0.30"
"29","A","Pac","no",NA,NA,"1.49","-0.20","-0.51"
"30","H","Boa","no",NA,NA,"1.57","-0.27","-0.78"
"31","A","SCl","no",NA,NA,"1.06","0.15","-0.63"
"32","H","Ben","no",NA,NA,"0.38","0.69","0.06"
"33","A","Viz","no",NA,NA,"1.59","-0.29","-0.22"
"34","H","Pse","no",NA,NA,"0.96","0.22","0.00"
