"","HA","vs","played","Pts","GD","ePts","sched","cumulative"
"1","H","Ben","yes",0,-1,"0.30","0.66","0.66"
"2","A","SCl","yes",1,0,"0.55","0.37","1.04"
"3","H","Bra","yes",0,-1,"0.53","0.40","1.44"
"4","A","Bel","yes",1,0,"0.92","-0.04","1.40"
"5","H","Fam","yes",1,0,"1.27","-0.44","0.96"
"6","A","Pto","yes",0,-5,"0.13","0.85","1.81"
"7","H","Aro","yes",3,1,"1.45","-0.65","1.16"
"8","A","Mar","yes",1,0,"0.97","-0.10","1.07"
"9","A","Spo","yes",0,-1,"0.21","0.76","1.83"
"10","H","Pac","yes",1,0,"1.14","-0.29","1.54"
"11","A","Gui","yes",0,-1,"0.59","0.34","1.87"
"12","H","Gil","yes",1,0,"0.68","0.23","2.11"
"13","H","Pse","yes",0,-1,"0.99","-0.13","1.98"
"14","A","Boa","yes",0,-1,"0.83","0.06","2.04"
"15","H","Est","yes",3,1,"1.06","-0.21","1.83"
"16","A","Ton","yes",0,-1,"1.09","-0.24","1.60"
"17","A","Viz","yes",3,1,"0.96","-0.09","1.51"
"18","A","Ben","yes",1,0,"0.47","0.47","1.98"
"19","H","SCl","yes",0,-2,"1.59","-0.80","1.17"
"20","A","Bra","yes",0,-2,"0.42","0.52","1.69"
"21","H","Bel","yes",3,3,"1.74","-0.97","0.72"
"22","A","Fam","yes",0,-5,"0.93","-0.06","0.67"
"23","H","Pto","yes",0,-1,"0.23","0.74","1.41"
"24","A","Aro","yes",1,0,"0.91","-0.03","1.38"
"25","H","Mar","yes",0,-1,"1.02","-0.16","1.21"
"26","H","Spo","yes",0,-2,"0.27","0.69","1.91"
"27","A","Pac","yes",0,-1,"0.86","0.03","1.93"
"28","H","Gui","yes",0,-1,"1.14","-0.30","1.64"
"29","A","Gil","yes",3,1,"0.77","0.13","1.76"
"30","H","Ton","yes",3,2,"1.44","-0.64","1.13"
"31","A","Pse","yes",0,-1,"1.12","-0.28","0.85"
"32","H","Boa","yes",0,-1,"1.21","-0.37","0.48"
"33","A","Est","yes",0,-1,"0.92","-0.05","0.43"
"34","H","Viz","no",NA,NA,"1.26","-0.43","-0.00"
