"","HA","vs","played","Pts","GD","ePts","sched","cumulative"
"1","H","SCl","yes",3,3,"2.28","-1.11","-1.11"
"2","A","Viz","yes",0,-1,"1.08","0.00","-1.11"
"3","H","Pse","yes",0,-3,"0.73","0.32","-0.78"
"4","A","Ben","yes",0,-1,"0.44","0.59","-0.19"
"5","H","Est","yes",0,-1,"1.06","0.02","-0.17"
"6","A","Bra","yes",0,-2,"0.61","0.43","0.26"
"7","H","Fam","yes",3,1,"1.60","-0.48","-0.22"
"8","A","Bel","yes",3,2,"1.15","-0.07","-0.29"
"9","H","Pto","yes",0,-2,"0.45","0.58","0.29"
"10","A","Aro","yes",0,-2,"0.90","0.16","0.46"
"11","H","Mar","yes",3,2,"1.48","-0.37","0.09"
"12","A","Spo","yes",0,-2,"0.18","0.84","0.93"
"13","A","Gui","yes",0,-3,"0.67","0.38","1.31"
"14","H","Pac","yes",0,-1,"1.52","-0.41","0.90"
"15","H","Gil","yes",0,-3,"1.12","-0.04","0.86"
"16","H","Mor","yes",3,1,"1.68","-0.56","0.30"
"17","A","Boa","yes",1,0,"0.84","0.22","0.52"
"18","A","SCl","yes",1,0,"0.64","0.40","0.93"
"19","H","Viz","no",NA,NA,"1.73","-0.60","0.32"
"20","A","Pse","no",NA,NA,"1.28","-0.18","0.14"
"21","H","Ben","no",NA,NA,"0.49","0.54","0.68"
"22","A","Est","no",NA,NA,"0.95","0.12","0.81"
"23","H","Bra","no",NA,NA,"0.91","0.15","0.96"
"24","A","Fam","no",NA,NA,"1.10","-0.02","0.94"
"25","H","Bel","no",NA,NA,"2.10","-0.94","0.00"
"26","A","Pto","no",NA,NA,"0.12","0.89","0.89"
"27","H","Aro","no",NA,NA,"2.02","-0.86","0.03"
"28","A","Mar","no",NA,NA,"0.80","0.26","0.29"
"29","H","Spo","no",NA,NA,"0.62","0.42","0.72"
"30","A","Mor","no",NA,NA,"0.85","0.21","0.93"
"31","H","Gui","no",NA,NA,"1.47","-0.36","0.57"
"32","A","Pac","no",NA,NA,"1.14","-0.06","0.51"
"33","A","Gil","no",NA,NA,"0.83","0.23","0.74"
"34","H","Boa","no",NA,NA,"1.88","-0.74","0.00"
