"","HA","vs","played","Pts","GD","ePts","sched","cumulative"
"1","A","Spo","yes",0,-3,"0.20","0.79","0.79"
"2","H","Ton","yes",3,1,"1.56","-0.59","0.21"
"3","A","Gui","yes",0,-4,"0.76","0.22","0.43"
"4","H","Boa","yes",1,0,"1.57","-0.60","-0.17"
"5","A","Gil","yes",1,0,"1.07","-0.09","-0.25"
"6","H","Pac","yes",1,0,"1.19","-0.21","-0.47"
"7","A","Pse","yes",1,0,"1.40","-0.42","-0.89"
"8","H","SCl","yes",1,0,"2.03","-1.07","-1.96"
"9","H","Ben","yes",0,-1,"0.35","0.65","-1.31"
"10","A","Fam","yes",1,0,"1.38","-0.40","-1.71"
"11","H","Est","yes",1,0,"0.77","0.22","-1.49"
"12","A","Bra","yes",0,-3,"0.56","0.43","-1.06"
"13","A","Aro","yes",3,3,"0.99","-0.01","-1.07"
"14","H","Pto","yes",0,-4,"0.32","0.68","-0.39"
"15","A","Mar","yes",0,-2,"0.89","0.10","-0.30"
"16","H","Bel","yes",3,2,"1.69","-0.72","-1.02"
"17","H","Mor","yes",0,-1,"1.40","-0.43","-1.45"
"18","H","Spo","no",NA,NA,"0.42","0.57","-0.88"
"19","A","Ton","no",NA,NA,"0.92","0.07","-0.81"
"20","H","Gui","no",NA,NA,"1.02","-0.04","-0.85"
"21","A","Boa","no",NA,NA,"0.94","0.04","-0.81"
"22","H","Gil","no",NA,NA,"0.78","0.20","-0.60"
"23","A","Pac","no",NA,NA,"1.22","-0.25","-0.85"
"24","H","Pse","no",NA,NA,"0.51","0.48","-0.37"
"25","A","SCl","no",NA,NA,"0.64","0.35","-0.02"
"26","A","Ben","no",NA,NA,"0.43","0.56","0.55"
"27","H","Fam","no",NA,NA,"1.27","-0.29","0.25"
"28","A","Est","no",NA,NA,"1.05","-0.07","0.19"
"29","H","Bra","no",NA,NA,"0.65","0.34","0.53"
"30","A","Bel","no",NA,NA,"1.29","-0.31","0.22"
"31","H","Aro","no",NA,NA,"1.72","-0.75","-0.53"
"32","A","Pto","no",NA,NA,"0.13","0.87","0.33"
"33","H","Mar","no",NA,NA,"1.35","-0.38","-0.04"
"34","A","Mor","no",NA,NA,"0.94","0.04","0.00"
