"","HA","vs","played","Pts","GD","GS","ePts","sched","cumulative"
"1","A","SCl","yes",1,0,0,"2.10","-0.60","-0.60"
"2","H","Ben","yes",0,-1,0,"0.29","0.78","0.18"
"3","H","Boa","yes",3,2,2,"1.90","-0.45","-0.28"
"4","A","Gui","yes",3,1,1,"0.94","0.28","0.00"
"5","H","Aro","yes",1,0,0,"1.27","0.03","0.03"
"6","A","Pac","yes",3,1,3,"2.31","-0.76","-0.73"
"7","H","Fam","yes",3,1,1,"1.69","-0.29","-1.02"
"8","A","Mar","yes",3,1,2,"1.70","-0.29","-1.31"
"9","H","Viz","yes",0,-1,0,"1.18","0.10","-1.21"
"10","A","Spo","yes",0,-2,1,"0.38","0.71","-0.50"
"11","H","Rio","yes",3,1,1,"1.73","-0.32","-0.82"
"12","A","Bra","yes",3,1,1,"0.40","0.70","-0.13"
"13","H","Cha","yes",0,-1,1,"1.30","0.01","-0.12"
"14","A","Pse","yes",3,1,2,"1.48","-0.13","-0.24"
"15","H","Pto","yes",1,0,0,"0.41","0.69","0.45"
"16","A","Est","yes",0,-2,0,"1.62","-0.24","0.21"
"17","H","Gil","yes",0,-2,1,"1.74","-0.33","-0.12"
"18","H","SCl","yes",3,1,2,"2.45","-0.87","-0.99"
"19","A","Ben","yes",0,-3,0,"0.23","0.83","-0.16"
"20","A","Boa","yes",1,0,0,"1.07","0.18","0.02"
"21","H","Gui","yes",1,0,0,"1.55","-0.19","-0.17"
"22","A","Aro","yes",0,-2,0,"0.89","0.32","0.15"
"23","H","Pac","yes",3,1,2,"1.93","-0.47","-0.32"
"24","A","Fam","yes",0,-1,0,"0.97","0.26","-0.06"
"25","H","Mar","yes",3,2,2,"2.41","-0.84","-0.90"
"26","A","Viz","yes",0,-2,1,"1.62","-0.24","-1.14"
"27","H","Spo","yes",0,-1,3,"0.70","0.46","-0.67"
"28","A","Rio","yes",1,0,1,"0.99","0.24","-0.43"
"29","H","Bra","yes",0,-1,0,"0.37","0.72","0.29"
"30","A","Cha","yes",0,-1,0,"1.38","-0.05","0.24"
"31","H","Pse","no",NA,NA,NA,"1.79","-0.37","-0.13"
"32","A","Pto","no",NA,NA,NA,"0.24","0.82","0.69"
"33","H","Est","no",NA,NA,NA,"1.95","-0.49","0.20"
"34","A","Gil","no",NA,NA,NA,"1.57","-0.20","-0.00"
