"","HA","vs","played","Pts","GD","GS","ePts","sched","cumulative"
"1","A","Cha","yes",3,1,1,"1.44","-0.09","-0.09"
"2","H","Est","yes",3,1,1,"2.01","-0.53","-0.63"
"3","A","Pse","yes",0,-1,1,"1.08","0.18","-0.44"
"4","H","Cas","yes",0,-1,0,"1.20","0.09","-0.36"
"5","A","Bra","yes",0,-1,0,"0.42","0.68","0.32"
"6","H","SCl","yes",3,1,1,"2.28","-0.73","-0.40"
"7","A","Aro","yes",1,0,2,"0.78","0.40","-0.00"
"8","H","Ben","yes",1,0,0,"0.55","0.58","0.58"
"9","A","Pac","yes",3,1,1,"2.08","-0.58","-0.00"
"10","H","Boa","yes",3,1,3,"1.93","-0.47","-0.47"
"11","H","Fam","yes",3,1,3,"2.29","-0.74","-1.21"
"12","A","Spo","yes",0,-3,0,"0.32","0.76","-0.45"
"13","H","Mar","yes",3,1,1,"2.27","-0.73","-1.18"
"14","A","Viz","yes",0,-3,0,"1.10","0.17","-1.01"
"15","H","Rio","yes",1,0,0,"2.05","-0.55","-1.56"
"16","A","Gil","yes",0,-1,1,"1.25","0.05","-1.52"
"17","H","Pto","yes",0,-1,0,"1.12","0.15","-1.36"
"18","H","Cha","no",NA,NA,NA,"1.39","-0.05","-1.42"
"19","A","Est","no",NA,NA,NA,"0.92","0.30","-1.12"
"20","H","Pse","no",NA,NA,NA,"1.92","-0.46","-1.57"
"21","A","Cas","no",NA,NA,NA,"1.00","0.24","-1.33"
"22","H","Bra","no",NA,NA,NA,"0.52","0.61","-0.72"
"23","A","SCl","no",NA,NA,NA,"1.20","0.09","-0.64"
"24","H","Aro","no",NA,NA,NA,"1.83","-0.39","-1.03"
"25","A","Ben","no",NA,NA,NA,"0.20","0.85","-0.18"
"26","H","Pac","no",NA,NA,NA,"2.31","-0.76","-0.94"
"27","A","Boa","no",NA,NA,NA,"0.78","0.41","-0.53"
"28","A","Fam","no",NA,NA,NA,"0.81","0.38","-0.15"
"29","H","Spo","no",NA,NA,NA,"1.49","-0.13","-0.28"
"30","A","Mar","no",NA,NA,NA,"1.36","-0.03","-0.31"
"31","H","Viz","no",NA,NA,NA,"1.74","-0.32","-0.63"
"32","A","Rio","no",NA,NA,NA,"0.89","0.33","-0.31"
"33","H","Gil","no",NA,NA,NA,"2.03","-0.55","-0.85"
"34","A","Pto","no",NA,NA,NA,"0.19","0.85","-0.00"
