"","HA","vs","played","Pts","GD","GS","ePts","sched","cumulative"
"1","A","Pto","yes",0,-4,1,"0.07","0.92","0.92"
"2","H","Cha","yes",0,-1,1,"0.94","-0.20","0.71"
"3","A","Bra","yes",0,-5,0,"0.11","0.86","1.58"
"4","H","Pse","yes",0,-1,0,"1.49","-0.91","0.67"
"5","A","SCl","yes",0,-1,1,"1.01","-0.28","0.39"
"6","H","Gil","yes",0,-1,1,"1.36","-0.74","-0.35"
"7","A","Ben","yes",0,-5,0,"0.06","0.92","0.57"
"8","H","Cas","yes",0,-1,1,"1.07","-0.37","0.20"
"9","A","Boa","yes",1,0,1,"0.34","0.57","0.78"
"10","H","Aro","yes",1,0,1,"0.91","-0.17","0.61"
"11","A","Pac","yes",3,1,1,"1.23","-0.57","0.04"
"12","H","Fam","yes",1,0,0,"1.39","-0.77","-0.74"
"13","A","Gui","yes",0,-1,0,"0.23","0.70","-0.03"
"14","A","Rio","yes",1,0,1,"0.31","0.60","0.56"
"15","H","Spo","yes",3,1,1,"0.60","0.23","0.80"
"16","A","Viz","yes",0,-3,0,"0.48","0.38","1.18"
"17","H","Est","yes",3,1,1,"1.67","-1.13","0.05"
"18","H","Pto","yes",0,-2,0,"0.30","0.61","0.66"
"19","A","Cha","yes",0,-1,1,"0.50","0.37","1.03"
"20","H","Bra","yes",0,-1,1,"0.27","0.66","1.69"
"21","A","Pse","yes",0,-1,1,"0.55","0.30","1.99"
"22","H","SCl","yes",3,2,3,"2.22","-1.84","0.15"
"23","A","Gil","yes",0,-2,0,"0.53","0.32","0.47"
"24","H","Ben","yes",0,-3,0,"0.22","0.72","1.19"
"25","A","Cas","yes",0,-2,0,"0.40","0.48","1.67"
"26","H","Boa","yes",3,2,4,"1.61","-1.06","0.61"
"27","A","Aro","yes",0,-1,0,"0.28","0.64","1.25"
"28","H","Pac","yes",3,2,3,"1.84","-1.35","-0.10"
"29","A","Fam","no",NA,NA,NA,"0.28","0.64","0.55"
"30","H","Gui","no",NA,NA,NA,"1.39","-0.77","-0.22"
"31","H","Rio","no",NA,NA,NA,"1.39","-0.78","-1.00"
"32","A","Spo","no",NA,NA,NA,"0.10","0.87","-0.13"
"33","H","Viz","no",NA,NA,NA,"0.85","-0.09","-0.22"
"34","A","Est","no",NA,NA,NA,"0.61","0.22","0.00"
