"","HA","vs","played","Pts","GD","GS","ePts","sched","cumulative"
"1","H","Cas","yes",1,0,0,"0.67","0.30","0.30"
"2","A","Boa","yes",0,-1,1,"0.61","0.36","0.66"
"3","H","Aro","yes",0,-1,1,"1.26","-0.32","0.34"
"4","A","Fam","yes",0,-1,0,"0.55","0.42","0.77"
"5","H","Mar","yes",3,1,2,"1.81","-0.90","-0.13"
"6","A","Gui","yes",0,-1,0,"0.44","0.54","0.41"
"7","H","Pac","yes",1,0,1,"1.82","-0.90","-0.49"
"8","A","Rio","yes",0,-1,0,"0.69","0.28","-0.21"
"9","H","Spo","yes",0,-1,1,"0.93","0.03","-0.18"
"10","A","Viz","yes",3,1,1,"1.02","-0.07","-0.25"
"11","H","Pto","yes",1,0,1,"0.72","0.24","-0.00"
"12","A","Cha","yes",1,0,0,"1.19","-0.25","-0.25"
"13","H","Est","yes",3,2,3,"1.30","-0.36","-0.61"
"14","A","Gil","yes",0,-1,0,"1.04","-0.09","-0.70"
"15","H","Bra","yes",0,-4,0,"0.26","0.73","0.03"
"16","A","Pse","yes",1,0,0,"0.86","0.11","0.13"
"17","H","Ben","no",NA,NA,NA,"0.29","0.70","0.83"
"18","A","Cas","no",NA,NA,NA,"0.65","0.32","1.14"
"19","H","Boa","no",NA,NA,NA,"1.30","-0.36","0.78"
"20","A","Aro","no",NA,NA,NA,"0.61","0.36","1.14"
"21","H","Fam","no",NA,NA,NA,"1.79","-0.87","0.28"
"22","A","Mar","no",NA,NA,NA,"1.37","-0.43","-0.15"
"23","H","Gui","no",NA,NA,NA,"1.56","-0.63","-0.78"
"24","A","Pac","no",NA,NA,NA,"1.84","-0.92","-1.70"
"25","H","Rio","no",NA,NA,NA,"1.34","-0.40","-2.10"
"26","A","Spo","no",NA,NA,NA,"0.27","0.71","-1.38"
"27","H","Viz","no",NA,NA,NA,"1.08","-0.13","-1.51"
"28","A","Pto","no",NA,NA,NA,"0.15","0.84","-0.67"
"29","H","Cha","no",NA,NA,NA,"0.78","0.18","-0.49"
"30","A","Est","no",NA,NA,NA,"0.71","0.26","-0.23"
"31","H","Gil","no",NA,NA,NA,"1.77","-0.84","-1.07"
"32","A","Bra","no",NA,NA,NA,"0.31","0.67","-0.40"
"33","H","Pse","no",NA,NA,NA,"1.38","-0.44","-0.84"
"34","A","Ben","no",NA,NA,NA,"0.15","0.84","-0.00"
