"","HA","vs","played","Pts","GD","GS","ePts","sched","cumulative"
"1","H","Gui","yes",0,-1,0,"0.89","0.14","0.14"
"2","A","Ben","yes",0,-2,0,"0.12","0.88","1.03"
"3","H","Est","yes",3,1,2,"1.98","-0.91","0.12"
"4","A","Pse","yes",1,0,1,"1.30","-0.25","-0.13"
"5","H","Pto","yes",0,-1,0,"0.57","0.45","0.32"
"6","A","Cha","yes",1,0,2,"1.30","-0.25","0.06"
"7","H","Bra","yes",0,-2,2,"0.58","0.44","0.50"
"8","A","Cas","yes",3,1,1,"1.44","-0.38","0.12"
"9","H","Fam","yes",3,1,1,"1.46","-0.41","-0.29"
"10","A","Spo","yes",0,-1,2,"0.03","0.97","0.67"
"11","H","Mor","yes",0,-1,0,"0.93","0.10","0.78"
"12","A","Rio","yes",1,0,1,"0.93","0.10","0.88"
"13","H","Boa","yes",3,2,3,"1.62","-0.56","0.32"
"14","A","Far","yes",1,0,0,"0.98","0.06","0.38"
"15","H","Aro","yes",0,-3,1,"1.22","-0.18","0.20"
"16","H","Viz","yes",1,0,1,"1.68","-0.62","-0.42"
"17","A","Gil","yes",1,0,1,"0.82","0.21","-0.22"
"18","A","Gui","yes",0,-3,0,"0.31","0.70","0.48"
"19","H","Ben","yes",0,-3,1,"0.39","0.62","1.11"
"20","A","Est","yes",0,-1,0,"0.82","0.21","1.32"
"21","H","Pse","yes",3,3,3,"1.72","-0.66","0.66"
"22","A","Pto","yes",0,-2,0,"0.23","0.78","1.44"
"23","H","Cha","yes",1,0,1,"2.00","-0.92","0.52"
"24","A","Bra","yes",0,-3,0,"0.40","0.62","1.13"
"25","H","Cas","yes",3,2,3,"1.00","0.03","1.17"
"26","A","Fam","yes",1,0,0,"0.94","0.09","1.26"
"27","H","Spo","yes",0,-1,1,"0.34","0.67","1.93"
"28","A","Mor","no",NA,NA,NA,"0.56","0.46","2.38"
"29","H","Rio","no",NA,NA,NA,"1.84","-0.77","1.61"
"30","A","Boa","no",NA,NA,NA,"0.93","0.10","1.71"
"31","H","Far","no",NA,NA,NA,"1.72","-0.66","1.05"
"32","A","Aro","no",NA,NA,NA,"0.80","0.23","1.28"
"33","A","Viz","no",NA,NA,NA,"1.44","-0.39","0.89"
"34","H","Gil","no",NA,NA,NA,"1.96","-0.89","0.00"
