"","HA","vs","played","Pts","GD","GS","ePts","sched","cumulative"
"1","H","Cha","yes",3,2,2,"2.06","-1.00","-1.00"
"2","A","Est","yes",0,-2,0,"0.77","0.25","-0.75"
"3","H","Pto","yes",0,-1,1,"0.63","0.39","-0.36"
"4","A","Cas","yes",1,0,1,"1.36","-0.32","-0.68"
"5","H","Fam","yes",1,0,1,"1.47","-0.43","-1.11"
"6","A","Spo","yes",0,-2,0,"0.03","0.98","-0.14"
"7","H","Mor","yes",0,-4,0,"1.02","0.00","-0.14"
"8","A","Bra","yes",0,-1,1,"0.42","0.59","0.46"
"9","H","Far","yes",0,-1,3,"1.73","-0.68","-0.22"
"10","H","Boa","yes",3,2,2,"1.81","-0.76","-0.99"
"11","A","Gil","yes",1,0,1,"0.77","0.25","-0.73"
"12","H","Ama","yes",1,0,1,"1.78","-0.74","-1.47"
"13","A","Aro","yes",1,0,2,"0.66","0.36","-1.11"
"14","H","Viz","yes",1,0,1,"1.82","-0.77","-1.88"
"15","A","Gui","yes",0,-1,0,"0.32","0.69","-1.19"
"16","H","Pse","yes",3,2,2,"1.68","-0.63","-1.82"
"17","A","Ben","yes",0,-3,1,"0.10","0.90","-0.91"
"18","A","Cha","yes",1,0,0,"1.29","-0.26","-1.17"
"19","H","Est","yes",1,0,1,"2.05","-0.99","-2.16"
"20","A","Pto","yes",1,0,0,"0.30","0.71","-1.45"
"21","H","Cas","yes",3,1,1,"1.15","-0.12","-1.57"
"22","A","Fam","yes",0,-1,1,"0.77","0.26","-1.31"
"23","H","Spo","yes",1,0,3,"0.34","0.67","-0.65"
"24","A","Mor","yes",1,0,0,"0.54","0.47","-0.17"
"25","H","Bra","yes",1,0,0,"0.56","0.45","0.28"
"26","A","Far","yes",1,0,1,"0.80","0.22","0.50"
"27","A","Boa","yes",1,0,0,"0.83","0.19","0.69"
"28","H","Gil","yes",3,3,3,"2.08","-1.02","-0.33"
"29","A","Ama","yes",1,0,2,"0.88","0.15","-0.18"
"30","H","Aro","no",NA,NA,NA,"1.14","-0.11","-0.30"
"31","A","Viz","no",NA,NA,NA,"1.33","-0.30","-0.59"
"32","H","Gui","no",NA,NA,NA,"0.83","0.20","-0.40"
"33","A","Pse","no",NA,NA,NA,"1.19","-0.15","-0.55"
"34","H","Ben","no",NA,NA,NA,"0.46","0.55","0.00"
