"","HA","vs","played","Pts","GD","GS","ePts","sched","cumulative"
"1","H","Vit","yes",0,-1,0,"1.33","-0.24","-0.24"
"2","A","Mor","yes",0,-2,1,"0.62","0.42","0.18"
"3","H","Nac","yes",3,1,1,"1.85","-0.72","-0.54"
"4","A","Rio","yes",0,-1,0,"0.94","0.13","-0.41"
"5","H","Spo","yes",0,-3,0,"0.33","0.69","0.28"
"6","A","Far","yes",3,1,1,"1.92","-0.78","-0.50"
"7","A","Pto","yes",0,-4,0,"0.16","0.85","0.35"
"8","H","AVS","yes",1,0,1,"1.81","-0.68","-0.33"
"9","A","Est","yes",0,-3,1,"0.91","0.16","-0.18"
"10","H","Bra","yes",0,-1,1,"0.24","0.78","0.60"
"11","A","Fam","yes",1,0,0,"1.33","-0.23","0.37"
"12","H","Ben","yes",0,-2,0,"0.61","0.43","0.80"
"13","A","Ama","yes",0,-1,1,"1.26","-0.17","0.63"
"14","H","Cla","yes",3,1,1,"0.56","0.48","1.12"
"15","A","Cas","yes",0,-2,1,"0.91","0.16","1.28"
"16","H","Gil","yes",1,0,1,"1.72","-0.60","0.68"
"17","A","Boa","yes",3,2,3,"2.31","-1.14","-0.46"
"18","A","Vit","yes",1,0,2,"0.71","0.34","-0.12"
"19","H","Mor","yes",3,1,1,"1.79","-0.66","-0.79"
"20","A","Nac","yes",3,1,2,"0.83","0.23","-0.56"
"21","H","Rio","yes",1,0,1,"1.63","-0.52","-1.07"
"22","A","Spo","yes",1,0,2,"0.24","0.78","-0.29"
"23","H","Far","no",NA,NA,NA,"1.72","-0.60","-0.89"
"24","H","Pto","no",NA,NA,NA,"0.61","0.44","-0.45"
"25","A","AVS","no",NA,NA,NA,"1.33","-0.23","-0.68"
"26","H","Est","no",NA,NA,NA,"1.09","-0.01","-0.70"
"27","A","Bra","no",NA,NA,NA,"0.86","0.20","-0.50"
"28","H","Fam","no",NA,NA,NA,"1.09","-0.02","-0.51"
"29","A","Ben","no",NA,NA,NA,"0.14","0.87","0.36"
"30","H","Ama","no",NA,NA,NA,"1.88","-0.75","-0.38"
"31","A","Cla","no",NA,NA,NA,"0.65","0.40","0.01"
"32","H","Cas","no",NA,NA,NA,"0.85","0.21","0.22"
"33","A","Gil","no",NA,NA,NA,"0.89","0.17","0.40"
"34","H","Boa","no",NA,NA,NA,"1.50","-0.40","-0.00"
