"","HA","vs","played","Pts","GD","GS","ePts","sched","cumulative"
"1","A","Cas","yes",3,1,1,"0.82","-0.34","-0.34"
"2","H","Bra","yes",0,-1,0,"0.05","0.92","0.58"
"3","A","Fam","yes",0,-1,0,"1.25","-1.03","-0.45"
"4","H","Est","yes",1,0,0,"0.31","0.50","0.05"
"5","A","Ama","yes",1,0,2,"1.16","-0.89","-0.84"
"6","H","Ben","yes",0,-3,0,"0.20","0.68","-0.16"
"7","A","Cla","yes",0,-1,0,"0.49","0.21","0.04"
"8","A","Vit","yes",1,0,2,"0.67","-0.09","-0.05"
"9","H","Mor","yes",0,-2,0,"0.71","-0.15","-0.20"
"10","A","Gil","yes",3,1,2,"0.79","-0.28","-0.48"
"11","H","Rio","yes",0,-2,0,"0.58","0.06","-0.42"
"12","A","Nac","yes",1,0,0,"0.70","-0.14","-0.57"
"13","H","Far","yes",1,0,1,"0.65","-0.05","-0.62"
"14","A","Spo","yes",0,-1,2,"0.15","0.76","0.14"
"15","H","AVS","yes",1,0,0,"0.77","-0.25","-0.10"
"16","A","Pto","yes",0,-4,0,"0.13","0.79","0.68"
"17","H","Aro","yes",0,-2,1,"0.49","0.20","0.88"
"18","H","Cas","yes",0,-1,2,"0.19","0.69","1.57"
"19","A","Bra","yes",0,-3,0,"0.75","-0.23","1.35"
"20","H","Fam","yes",0,-2,0,"0.33","0.47","1.82"
"21","A","Est","yes",0,-1,1,"0.81","-0.31","1.50"
"22","H","Ama","no",NA,NA,NA,"0.94","-0.52","0.98"
"23","A","Ben","no",NA,NA,NA,"0.11","0.81","1.79"
"24","H","Cla","no",NA,NA,NA,"0.14","0.77","2.57"
"25","H","Vit","no",NA,NA,NA,"0.43","0.30","2.87"
"26","A","Mor","no",NA,NA,NA,"0.67","-0.09","2.78"
"27","H","Gil","no",NA,NA,NA,"0.67","-0.09","2.69"
"28","A","Rio","no",NA,NA,NA,"0.75","-0.22","2.47"
"29","H","Nac","no",NA,NA,NA,"0.76","-0.24","2.23"
"30","A","Far","no",NA,NA,NA,"1.82","-1.95","0.28"
"31","H","Spo","no",NA,NA,NA,"0.08","0.87","1.15"
"32","A","AVS","no",NA,NA,NA,"1.25","-1.03","0.12"
"33","H","Pto","no",NA,NA,NA,"0.16","0.74","0.86"
"34","A","Aro","no",NA,NA,NA,"1.14","-0.86","-0.00"
