"","HA","vs","played","Pts","GD","GS","ePts","sched","cumulative"
"1","A","Est","yes",3,3,4,"1.61","0.01","0.01"
"2","H","Pto","yes",0,-2,0,"1.15","0.29","0.31"
"3","A","Cas","yes",3,2,2,"1.41","0.13","0.44"
"4","H","AVS","yes",3,1,2,"2.32","-0.42","0.02"
"5","A","Ben","yes",0,-3,1,"0.27","0.83","0.85"
"6","H","Ama","yes",3,1,1,"2.19","-0.34","0.51"
"7","H","Boa","yes",3,1,1,"1.97","-0.21","0.30"
"8","A","Mor","yes",0,-1,0,"1.27","0.22","0.51"
"9","H","Gil","yes",3,1,2,"2.26","-0.39","0.13"
"10","A","Nac","yes",0,-2,0,"1.36","0.16","0.29"
"11","H","Vit","yes",3,1,1,"1.72","-0.06","0.23"
"12","A","Spo","yes",3,1,1,"0.48","0.71","0.94"
"13","H","Rio","yes",3,1,1,"2.37","-0.46","0.48"
"14","A","Aro","yes",0,-1,0,"2.02","-0.24","0.24"
"15","H","Bra","yes",0,-2,0,"0.72","0.56","0.80"
"16","A","Fam","yes",3,1,2,"1.65","-0.01","0.79"
"17","H","Far","yes",1,0,0,"2.23","-0.37","0.42"
"18","H","Est","yes",0,-1,2,"1.74","-0.07","0.35"
"19","A","Pto","yes",1,0,1,"0.62","0.62","0.97"
"20","H","Cas","yes",3,1,2,"1.77","-0.09","0.88"
"21","A","AVS","yes",3,1,2,"2.04","-0.25","0.62"
"22","H","Ben","yes",0,-1,0,"0.82","0.49","1.12"
"23","A","Ama","yes",1,0,0,"1.90","-0.17","0.95"
"24","A","Boa","yes",0,-1,0,"2.52","-0.55","0.40"
"25","H","Mor","yes",1,0,1,"2.18","-0.34","0.06"
"26","A","Gil","yes",3,1,1,"1.98","-0.21","-0.15"
"27","H","Nac","yes",3,1,1,"2.44","-0.50","-0.65"
"28","A","Vit","yes",0,-2,0,"0.98","0.40","-0.25"
"29","H","Spo","no",NA,NA,NA,"0.72","0.56","0.31"
"30","A","Rio","no",NA,NA,NA,"1.55","0.05","0.36"
"31","H","Aro","no",NA,NA,NA,"1.93","-0.19","0.17"
"32","A","Bra","no",NA,NA,NA,"1.16","0.29","0.46"
"33","H","Fam","no",NA,NA,NA,"1.58","0.03","0.49"
"34","A","Far","no",NA,NA,NA,"2.42","-0.49","-0.00"
