"","HA","vs","played","Pts","GD","GS","ePts","sched","cumulative"
"1","H","Cla","yes",0,-3,1,"1.21","0.14","0.14"
"2","A","Vit","yes",0,-1,0,"0.86","0.39","0.52"
"3","H","Gil","yes",1,0,0,"2.17","-0.55","-0.03"
"4","A","Boa","yes",1,0,0,"2.24","-0.60","-0.63"
"5","H","Nac","yes",3,1,1,"2.25","-0.61","-1.23"
"6","A","Rio","yes",1,0,2,"1.02","0.27","-0.97"
"7","H","Spo","yes",0,-3,0,"0.65","0.54","-0.43"
"8","A","Far","yes",0,-1,0,"2.25","-0.61","-1.04"
"9","H","Aro","yes",3,3,4,"1.78","-0.27","-1.31"
"10","A","Pto","yes",0,-4,0,"0.36","0.74","-0.57"
"11","H","AVS","yes",1,0,0,"2.03","-0.45","-1.02"
"12","H","Fam","yes",3,1,2,"1.42","-0.01","-1.03"
"13","A","Bra","yes",1,0,2,"1.10","0.21","-0.82"
"14","H","Cas","yes",0,-2,0,"1.34","0.04","-0.78"
"15","A","Ben","yes",0,-3,0,"0.21","0.85","0.07"
"16","H","Mor","yes",1,0,2,"2.21","-0.57","-0.50"
"17","A","Ama","yes",3,2,4,"1.61","-0.15","-0.65"
"18","A","Cla","yes",3,1,3,"0.94","0.33","-0.32"
"19","H","Vit","yes",3,1,1,"1.68","-0.20","-0.52"
"20","A","Gil","yes",3,1,2,"1.33","0.05","-0.47"
"21","H","Boa","yes",3,1,2,"1.89","-0.35","-0.82"
"22","A","Nac","yes",1,0,2,"1.02","0.27","-0.55"
"23","H","Rio","yes",3,1,2,"2.08","-0.49","-1.04"
"24","A","Spo","yes",0,-2,1,"0.34","0.76","-0.28"
"25","H","Far","no",NA,NA,NA,"2.07","-0.48","-0.76"
"26","A","Aro","no",NA,NA,NA,"1.68","-0.20","-0.96"
"27","H","Pto","no",NA,NA,NA,"0.89","0.36","-0.59"
"28","A","AVS","no",NA,NA,NA,"1.58","-0.13","-0.72"
"29","A","Fam","no",NA,NA,NA,"1.55","-0.10","-0.83"
"30","H","Bra","no",NA,NA,NA,"0.57","0.59","-0.23"
"31","A","Cas","no",NA,NA,NA,"1.14","0.19","-0.04"
"32","H","Ben","no",NA,NA,NA,"0.95","0.32","0.28"
"33","A","Mor","no",NA,NA,NA,"1.02","0.27","0.55"
"34","H","Ama","no",NA,NA,NA,"2.17","-0.55","-0.00"
