"","HA","vs","played","Pts","GD","GS","ePts","sched","cumulative"
"1","H","Mor","yes",0,-1,1,"0.85","-0.23","-0.23"
"2","A","Rio","yes",0,-1,0,"0.81","-0.17","-0.41"
"3","H","Spo","yes",0,-5,0,"0.12","0.82","0.41"
"4","A","Nac","yes",0,-2,0,"0.67","0.03","0.44"
"5","A","Pto","yes",0,-1,1,"0.23","0.66","1.10"
"6","H","Aro","yes",0,-1,0,"0.57","0.18","1.28"
"7","A","AVS","yes",1,0,0,"1.27","-0.85","0.43"
"8","H","Est","yes",3,1,1,"0.53","0.23","0.66"
"9","A","Bra","yes",0,-2,0,"0.50","0.27","0.93"
"10","H","Ben","yes",0,-1,1,"0.16","0.76","1.69"
"11","A","Cas","yes",1,0,1,"0.74","-0.08","1.61"
"12","H","Ama","yes",3,1,1,"0.85","-0.23","1.38"
"13","A","Boa","yes",1,0,1,"2.06","-1.98","-0.60"
"14","H","Gil","yes",0,-1,0,"0.93","-0.35","-0.95"
"15","A","Fam","yes",3,1,2,"0.79","-0.15","-1.10"
"16","H","Vit","yes",1,0,2,"0.48","0.30","-0.79"
"17","A","Cla","yes",1,0,0,"0.64","0.07","-0.73"
"18","A","Mor","yes",1,0,0,"0.72","-0.04","-0.77"
"19","H","Rio","yes",0,-1,1,"0.88","-0.27","-1.04"
"20","A","Spo","yes",0,-2,1,"0.18","0.73","-0.31"
"21","H","Nac","yes",0,-2,0,"1.04","-0.51","-0.82"
"22","H","Pto","yes",0,-1,0,"0.22","0.68","-0.14"
"23","A","Aro","yes",1,0,2,"1.25","-0.81","-0.95"
"24","H","AVS","yes",0,-1,0,"1.02","-0.48","-1.43"
"25","A","Est","yes",1,0,2,"0.85","-0.23","-1.66"
"26","H","Bra","yes",0,-1,0,"0.14","0.80","-0.86"
"27","A","Ben","yes",0,-1,2,"0.15","0.78","-0.09"
"28","H","Cas","yes",1,0,0,"0.52","0.25","0.16"
"29","A","Ama","yes",3,1,1,"1.23","-0.78","-0.62"
"30","H","Boa","yes",0,-1,0,"0.59","0.14","-0.48"
"31","A","Gil","no",NA,NA,NA,"1.21","-0.76","-1.24"
"32","H","Fam","no",NA,NA,NA,"0.42","0.39","-0.84"
"33","A","Vit","no",NA,NA,NA,"0.43","0.37","-0.47"
"34","H","Cla","no",NA,NA,NA,"0.36","0.47","0.00"
