"","HA","vs","played","Pts","GD","GS","ePts","sched","cumulative"
"1","H","Gil","yes",3,3,3,"2.92","-0.17","-0.17"
"2","A","Cla","yes",3,2,2,"1.97","0.21","0.05"
"3","H","Rio","yes",3,2,2,"2.95","-0.18","-0.13"
"4","A","Spo","yes",0,-2,0,"0.83","0.67","0.54"
"5","H","Far","yes",3,1,2,"2.94","-0.17","0.36"
"6","A","Vit","yes",3,3,3,"2.02","0.19","0.56"
"7","H","Aro","yes",3,4,4,"2.94","-0.17","0.38"
"8","H","Bra","yes",3,1,2,"2.36","0.06","0.44"
"9","A","AVS","yes",3,5,5,"2.58","-0.03","0.41"
"10","H","Est","yes",3,4,4,"2.91","-0.16","0.25"
"11","A","Ben","yes",0,-3,1,"0.66","0.73","0.98"
"12","H","Cas","yes",3,2,2,"2.82","-0.13","0.86"
"13","A","Fam","yes",1,0,1,"2.47","0.01","0.87"
"14","H","Ama","yes",3,2,2,"2.96","-0.18","0.69"
"15","A","Mor","yes",3,3,3,"1.86","0.26","0.95"
"16","H","Boa","yes",3,4,4,"2.90","-0.16","0.79"
"17","A","Nac","yes",0,-2,0,"1.91","0.24","1.03"
"18","A","Gil","no",NA,NA,NA,"2.27","0.09","1.12"
"19","H","Cla","no",NA,NA,NA,"2.80","-0.12","1.00"
"20","A","Rio","no",NA,NA,NA,"2.26","0.10","1.10"
"21","H","Spo","no",NA,NA,NA,"2.61","-0.04","1.05"
"22","A","Far","no",NA,NA,NA,"2.67","-0.06","0.99"
"23","H","Vit","no",NA,NA,NA,"2.90","-0.16","0.83"
"24","A","Aro","no",NA,NA,NA,"2.54","-0.01","0.82"
"25","A","Bra","no",NA,NA,NA,"2.37","0.05","0.87"
"26","H","AVS","no",NA,NA,NA,"2.94","-0.18","0.69"
"27","A","Est","no",NA,NA,NA,"2.45","0.02","0.71"
"28","H","Ben","no",NA,NA,NA,"2.79","-0.11","0.60"
"29","A","Cas","no",NA,NA,NA,"2.44","0.03","0.63"
"30","H","Fam","no",NA,NA,NA,"2.90","-0.16","0.47"
"31","A","Ama","no",NA,NA,NA,"2.48","0.01","0.48"
"32","H","Mor","no",NA,NA,NA,"2.94","-0.17","0.31"
"33","A","Boa","no",NA,NA,NA,"2.82","-0.12","0.18"
"34","H","Nac","no",NA,NA,NA,"2.96","-0.18","0.00"
