"","HA","vs","played","Pts","GD","GS","ePts","sched","cumulative"
"1","A","Aro","yes",3,1,1,"1.66","-0.03","-0.03"
"2","H","Est","yes",3,1,1,"2.64","-0.65","-0.68"
"3","A","AVS","yes",0,-1,0,"1.73","-0.08","-0.76"
"4","H","Fam","yes",3,1,2,"2.00","-0.25","-1.00"
"5","A","Bra","yes",3,2,2,"1.43","0.11","-0.90"
"6","H","Pto","yes",0,-3,0,"0.62","0.61","-0.29"
"7","A","Cas","yes",1,0,1,"1.70","-0.06","-0.35"
"8","H","Boa","yes",1,0,2,"2.10","-0.31","-0.65"
"9","A","Ama","yes",1,0,2,"1.57","0.02","-0.63"
"10","H","Mor","yes",3,1,1,"2.52","-0.57","-1.21"
"11","A","Cla","yes",0,-1,0,"0.34","0.79","-0.42"
"12","H","Gil","yes",3,4,4,"2.22","-0.38","-0.80"
"13","A","Ben","yes",0,-1,0,"0.08","0.95","0.15"
"14","A","Rio","yes",1,0,2,"1.38","0.14","0.29"
"15","H","Nac","no",NA,NA,NA,"2.70","-0.68","-0.39"
"16","A","Far","no",NA,NA,NA,"2.22","-0.39","-0.78"
"17","H","Spo","no",NA,NA,NA,"0.55","0.66","-0.12"
"18","H","Aro","no",NA,NA,NA,"2.52","-0.57","-0.69"
"19","A","Est","no",NA,NA,NA,"1.53","0.04","-0.64"
"20","H","AVS","no",NA,NA,NA,"2.52","-0.57","-1.21"
"21","A","Fam","no",NA,NA,NA,"1.10","0.31","-0.90"
"22","H","Bra","no",NA,NA,NA,"1.24","0.23","-0.67"
"23","A","Pto","no",NA,NA,NA,"0.09","0.94","0.27"
"24","H","Cas","no",NA,NA,NA,"1.86","-0.16","0.11"
"25","A","Boa","no",NA,NA,NA,"2.49","-0.55","-0.44"
"26","H","Ama","no",NA,NA,NA,"2.67","-0.67","-1.10"
"27","A","Mor","no",NA,NA,NA,"0.40","0.75","-0.35"
"28","H","Cla","no",NA,NA,NA,"1.47","0.08","-0.27"
"29","A","Gil","no",NA,NA,NA,"1.19","0.26","-0.01"
"30","H","Ben","no",NA,NA,NA,"1.49","0.07","0.06"
"31","H","Rio","no",NA,NA,NA,"2.52","-0.57","-0.51"
"32","A","Nac","no",NA,NA,NA,"1.07","0.33","-0.17"
"33","H","Far","no",NA,NA,NA,"2.72","-0.70","-0.87"
"34","A","Spo","no",NA,NA,NA,"0.21","0.87","0.00"
