"","HA","vs","played","Pts","GD","GS","ePts","sched","cumulative"
"1","A","Aro","yes",0,-2,1,"0.30","-0.31","-0.31"
"2","H","Cas","yes",0,-2,0,"0.33","-0.45","-0.75"
"3","A","Bra","yes",1,0,2,"0.12","0.48","-0.27"
"4","H","Fam","yes",0,-1,0,"0.18","0.20","-0.08"
"5","A","Est","yes",0,-2,1,"0.18","0.19","0.12"
"6","H","Ben","yes",0,-3,0,"0.04","0.83","0.95"
"7","A","Ama","yes",0,-3,0,"0.33","-0.46","0.49"
"8","H","Alv","yes",0,-2,1,"0.47","-1.07","-0.58"
"9","A","Cla","yes",0,-2,0,"0.42","-0.83","-1.41"
"10","H","Ton","yes",1,0,2,"0.48","-1.09","-2.50"
"11","H","Gil","yes",1,0,1,"0.11","0.51","-1.99"
"12","A","Vit","yes",0,-4,0,"0.11","0.53","-1.46"
"13","H","Rio","yes",0,-1,1,"0.28","-0.21","-1.67"
"14","A","Spo","yes",0,-6,0,"0.03","0.85","-0.82"
"15","H","Nac","yes",1,0,2,"0.31","-0.36","-1.18"
"16","A","Pto","yes",0,-2,0,"0.02","0.92","-0.26"
"17","H","Mor","yes",0,-2,0,"0.28","-0.22","-0.48"
"18","H","Aro","yes",0,-1,0,"0.38","-0.69","-1.16"
"19","A","Cas","yes",1,0,3,"0.35","-0.53","-1.70"
"20","H","Bra","yes",0,-4,0,"0.12","0.46","-1.24"
"21","A","Fam","yes",0,-2,1,"0.16","0.32","-0.92"
"22","H","Est","no",NA,NA,NA,"0.24","-0.04","-0.96"
"23","A","Ben","no",NA,NA,NA,"0.06","0.75","-0.21"
"24","H","Ama","no",NA,NA,NA,"0.26","-0.15","-0.36"
"25","A","Alv","no",NA,NA,NA,"0.15","0.34","-0.02"
"26","H","Cla","no",NA,NA,NA,"0.44","-0.91","-0.93"
"27","A","Ton","no",NA,NA,NA,"0.47","-1.08","-2.01"
"28","A","Gil","no",NA,NA,NA,"0.07","0.71","-1.29"
"29","H","Vit","no",NA,NA,NA,"0.28","-0.22","-1.52"
"30","A","Rio","no",NA,NA,NA,"0.36","-0.60","-2.11"
"31","H","Spo","no",NA,NA,NA,"0.03","0.88","-1.24"
"32","A","Nac","no",NA,NA,NA,"0.28","-0.25","-1.48"
"33","H","Pto","no",NA,NA,NA,"0.02","0.93","-0.55"
"34","A","Mor","no",NA,NA,NA,"0.10","0.55","0.00"
