"","HA","vs","played","Pts","GD","GS","ePts","sched","cumulative"
"1","A","Mor","yes",0,-1,1,"0.80","0.30","0.30"
"2","H","Bra","yes",0,-3,0,"0.79","0.31","0.61"
"3","A","Ama","yes",1,0,2,"1.29","-0.12","0.50"
"4","H","Ben","yes",0,-1,1,"0.35","0.69","1.19"
"5","H","Ton","yes",3,1,1,"1.88","-0.64","0.55"
"6","A","Cla","yes",0,-1,1,"1.22","-0.06","0.49"
"7","H","Vit","yes",3,2,2,"1.88","-0.64","-0.14"
"8","A","AVS","yes",3,2,3,"2.00","-0.74","-0.89"
"9","H","Gil","yes",0,-4,0,"1.25","-0.08","-0.97"
"10","A","Spo","yes",0,-2,0,"0.14","0.88","-0.09"
"11","H","Rio","yes",1,0,1,"1.24","-0.08","-0.17"
"12","A","Cas","yes",3,2,2,"1.33","-0.16","-0.33"
"13","H","Nac","yes",3,1,1,"1.80","-0.56","-0.89"
"14","A","Aro","yes",0,-1,0,"0.95","0.17","-0.72"
"15","H","Pto","yes",0,-3,0,"0.16","0.86","0.14"
"16","A","Est","yes",0,-3,1,"0.89","0.23","0.37"
"17","H","Fam","yes",3,1,1,"1.13","0.02","0.39"
"18","H","Mor","yes",3,1,2,"1.51","-0.31","0.08"
"19","A","Bra","yes",0,-5,0,"0.50","0.56","0.64"
"20","H","Ama","yes",1,0,1,"1.87","-0.63","0.01"
"21","A","Ben","yes",0,-1,1,"0.26","0.77","0.78"
"22","A","Ton","yes",1,0,1,"1.73","-0.50","0.27"
"23","H","Cla","yes",1,0,1,"1.86","-0.62","-0.34"
"24","A","Vit","yes",1,0,1,"0.69","0.40","0.06"
"25","H","AVS","yes",1,0,0,"2.42","-1.10","-1.05"
"26","A","Gil","yes",1,0,2,"0.45","0.61","-0.43"
"27","H","Spo","yes",0,-3,1,"0.25","0.79","0.35"
"28","A","Rio","yes",3,1,2,"1.38","-0.20","0.15"
"29","H","Cas","no",NA,NA,NA,"1.81","-0.58","-0.43"
"30","A","Nac","no",NA,NA,NA,"1.20","-0.05","-0.48"
"31","H","Aro","no",NA,NA,NA,"1.66","-0.44","-0.92"
"32","A","Pto","no",NA,NA,NA,"0.13","0.89","-0.03"
"33","H","Est","no",NA,NA,NA,"1.63","-0.42","-0.45"
"34","A","Fam","no",NA,NA,NA,"0.63","0.45","0.00"
