"","HA","vs","played","Pts","GD","GS","ePts","sched","cumulative"
"1","A","Ama","yes",3,1,1,"2.85","-0.23","-0.23"
"2","H","Ton","yes",3,3,3,"2.46","-0.06","-0.30"
"3","A","Alv","yes",3,1,2,"2.70","-0.17","-0.46"
"4","H","Cla","yes",1,0,1,"2.32","-0.00","-0.47"
"5","A","AVS","yes",3,3,3,"2.97","-0.28","-0.75"
"6","H","Rio","yes",1,0,1,"2.11","0.09","-0.66"
"7","H","Gil","yes",3,1,2,"1.69","0.27","-0.39"
"8","A","Pto","yes",1,0,0,"0.73","0.69","0.30"
"9","H","Aro","yes",3,5,5,"2.56","-0.11","0.19"
"10","A","Vit","yes",3,3,3,"2.68","-0.16","0.03"
"11","H","Cas","yes",1,0,2,"2.47","-0.07","-0.03"
"12","A","Nac","yes",3,1,2,"2.87","-0.24","-0.27"
"13","H","Spo","yes",1,0,1,"0.60","0.74","0.47"
"14","A","Mor","no",NA,NA,NA,"2.38","-0.03","0.44"
"15","H","Fam","no",NA,NA,NA,"1.97","0.15","0.59"
"16","A","Bra","no",NA,NA,NA,"2.74","-0.18","0.41"
"17","H","Est","no",NA,NA,NA,"2.47","-0.07","0.34"
"18","A","Rio","no",NA,NA,NA,"2.81","-0.22","0.12"
"19","H","Ama","no",NA,NA,NA,"2.46","-0.06","0.06"
"20","A","Ton","no",NA,NA,NA,"2.91","-0.26","-0.20"
"21","H","Alv","no",NA,NA,NA,"2.31","0.00","-0.19"
"22","A","Cla","no",NA,NA,NA,"2.82","-0.22","-0.41"
"23","H","AVS","no",NA,NA,NA,"2.88","-0.25","-0.66"
"24","A","Gil","no",NA,NA,NA,"2.53","-0.10","-0.75"
"25","H","Pto","no",NA,NA,NA,"0.08","0.97","0.21"
"26","A","Aro","no",NA,NA,NA,"2.90","-0.25","-0.04"
"27","H","Vit","no",NA,NA,NA,"2.11","0.09","0.05"
"28","A","Cas","no",NA,NA,NA,"2.93","-0.26","-0.22"
"29","H","Nac","no",NA,NA,NA,"2.26","0.02","-0.19"
"30","A","Spo","no",NA,NA,NA,"1.96","0.15","-0.04"
"31","H","Mor","no",NA,NA,NA,"2.24","0.03","-0.01"
"32","A","Fam","no",NA,NA,NA,"2.68","-0.16","-0.17"
"33","H","Bra","no",NA,NA,NA,"1.39","0.40","0.23"
"34","A","Est","no",NA,NA,NA,"2.85","-0.23","-0.00"
