"","HA","vs","played","Pts","GD","GS","ePts","sched","cumulative"
"1","H","Ton","yes",3,3,3,"2.31","-0.28","-0.28"
"2","A","Alv","yes",3,3,3,"1.68","0.07","-0.22"
"3","H","AVS","yes",1,0,2,"2.67","-0.48","-0.70"
"4","A","Rio","yes",1,0,2,"2.29","-0.27","-0.97"
"5","H","Gil","yes",0,-1,0,"1.91","-0.06","-1.03"
"6","A","Vit","yes",1,0,1,"1.46","0.19","-0.84"
"7","H","Nac","yes",0,-1,0,"2.25","-0.25","-1.08"
"8","A","Spo","yes",1,0,1,"0.69","0.61","-0.47"
"9","H","Cas","yes",3,4,4,"2.37","-0.32","-0.79"
"10","A","Pto","yes",0,-1,1,"0.37","0.79","0.01"
"11","H","Mor","yes",3,1,2,"2.10","-0.16","-0.16"
"12","A","Aro","yes",3,4,4,"1.81","-0.00","-0.16"
"13","A","Fam","yes",3,1,2,"1.48","0.18","0.02"
"14","H","Cla","yes",3,1,1,"2.35","-0.30","-0.29"
"15","A","Est","yes",0,-1,0,"1.89","-0.05","-0.34"
"16","H","Ben","yes",1,0,2,"0.57","0.68","0.35"
"17","A","Ama","yes",1,0,3,"2.19","-0.21","0.14"
"18","A","Ton","yes",3,1,1,"2.48","-0.37","-0.24"
"19","H","Alv","yes",3,5,5,"2.30","-0.28","-0.52"
"20","A","AVS","yes",3,4,4,"2.57","-0.42","-0.94"
"21","H","Rio","yes",3,3,3,"1.91","-0.06","-1.00"
"22","A","Gil","yes",0,-1,1,"1.31","0.28","-0.72"
"23","H","Vit","yes",3,1,3,"2.22","-0.23","-0.96"
"24","A","Nac","yes",3,1,2,"2.03","-0.13","-1.08"
"25","H","Spo","yes",1,0,2,"0.65","0.64","-0.45"
"26","H","Pto","yes",0,-1,1,"0.33","0.82","0.37"
"27","A","Mor","yes",3,1,1,"1.63","0.10","0.47"
"28","H","Aro","yes",3,1,1,"2.27","-0.26","0.21"
"29","H","Fam","yes",1,0,2,"1.64","0.09","0.30"
"30","A","Cas","yes",3,1,1,"2.26","-0.25","0.05"
"31","A","Cla","yes",0,-1,1,"1.99","-0.11","-0.05"
"32","H","Est","no",NA,NA,NA,"2.23","-0.24","-0.29"
"33","A","Ben","no",NA,NA,NA,"0.69","0.62","0.33"
"34","H","Ama","no",NA,NA,NA,"2.39","-0.33","0.00"
