"","HA","vs","played","Pts","GD","GS","ePts","sched","cumulative"
"1","H","Cla","yes",3,3,3,"2.12","-0.46","-0.46"
"2","A","Ton","yes",3,1,1,"2.08","-0.43","-0.89"
"3","H","Gil","yes",1,0,0,"1.05","0.27","-0.62"
"4","A","AVS","yes",3,1,1,"2.44","-0.68","-1.29"
"5","H","Spo","yes",0,-1,1,"0.26","0.82","-0.47"
"6","A","Cas","yes",1,0,1,"1.89","-0.30","-0.77"
"7","H","Rio","yes",1,0,0,"1.80","-0.24","-1.00"
"8","A","Aro","yes",1,0,1,"1.58","-0.09","-1.09"
"9","H","Vit","yes",3,2,2,"1.89","-0.30","-1.40"
"10","A","Nac","yes",3,1,1,"1.69","-0.16","-1.56"
"11","H","Pto","yes",0,-1,0,"0.15","0.90","-0.66"
"12","A","Mor","yes",1,0,2,"0.89","0.38","-0.28"
"13","H","Bra","yes",0,-1,1,"1.13","0.22","-0.06"
"14","H","Est","yes",3,4,4,"1.92","-0.32","-0.38"
"15","A","Ben","yes",0,-1,0,"0.52","0.65","0.26"
"16","H","Ama","yes",0,-1,2,"1.80","-0.24","0.02"
"17","A","Alv","yes",0,-1,0,"1.27","0.13","0.15"
"18","A","Cla","yes",3,1,1,"1.98","-0.36","-0.21"
"19","H","Ton","yes",3,3,3,"2.04","-0.40","-0.61"
"20","A","Gil","yes",0,-5,0,"0.59","0.59","-0.02"
"21","H","AVS","yes",3,2,3,"2.63","-0.81","-0.83"
"22","A","Spo","yes",0,-1,0,"0.26","0.82","-0.01"
"23","H","Cas","no",NA,NA,NA,"1.91","-0.31","-0.32"
"24","A","Rio","no",NA,NA,NA,"1.99","-0.37","-0.69"
"25","H","Aro","no",NA,NA,NA,"2.03","-0.40","-1.09"
"26","A","Vit","no",NA,NA,NA,"0.92","0.36","-0.72"
"27","H","Nac","no",NA,NA,NA,"1.99","-0.37","-1.09"
"28","A","Pto","no",NA,NA,NA,"0.16","0.89","-0.20"
"29","H","Mor","no",NA,NA,NA,"1.68","-0.15","-0.36"
"30","A","Bra","no",NA,NA,NA,"0.88","0.39","0.04"
"31","A","Est","no",NA,NA,NA,"1.36","0.06","0.10"
"32","H","Ben","no",NA,NA,NA,"0.40","0.72","0.82"
"33","A","Ama","no",NA,NA,NA,"1.94","-0.34","0.49"
"34","H","Alv","no",NA,NA,NA,"2.16","-0.49","-0.00"
