"","HA","vs","played","Pts","GD","GS","ePts","sched","cumulative"
"1","H","Alv","yes",3,1,2,"2.83","-0.50","-0.50"
"2","A","Cla","yes",3,1,1,"2.22","-0.17","-0.67"
"3","H","Vit","yes",3,2,2,"2.66","-0.41","-1.08"
"4","A","Gil","yes",0,-2,0,"0.34","0.82","-0.25"
"5","H","Rio","yes",3,2,3,"2.43","-0.28","-0.54"
"6","A","Spo","yes",0,-3,0,"0.30","0.84","0.30"
"7","H","Cas","yes",3,1,2,"2.69","-0.42","-0.12"
"8","A","Nac","yes",0,-1,2,"1.38","0.27","0.15"
"9","H","Pto","yes",0,-1,1,"0.15","0.92","1.07"
"10","A","Aro","no",NA,NA,NA,"1.91","-0.01","1.06"
"11","A","Bra","no",NA,NA,NA,"1.68","0.11","1.18"
"12","H","Fam","no",NA,NA,NA,"2.54","-0.34","0.83"
"13","A","Est","no",NA,NA,NA,"2.46","-0.30","0.54"
"14","H","Ben","no",NA,NA,NA,"0.99","0.48","1.01"
"15","A","Ama","no",NA,NA,NA,"2.55","-0.35","0.67"
"16","H","Ton","no",NA,NA,NA,"2.84","-0.50","0.16"
"17","A","AVS","no",NA,NA,NA,"2.96","-0.57","-0.40"
"18","A","Alv","no",NA,NA,NA,"1.71","0.09","-0.31"
"19","H","Cla","no",NA,NA,NA,"2.68","-0.42","-0.73"
"20","A","Vit","no",NA,NA,NA,"1.29","0.32","-0.41"
"21","H","Gil","no",NA,NA,NA,"1.61","0.15","-0.26"
"22","A","Rio","no",NA,NA,NA,"1.30","0.31","0.05"
"23","H","Spo","no",NA,NA,NA,"0.60","0.68","0.73"
"24","A","Cas","no",NA,NA,NA,"2.22","-0.17","0.56"
"25","H","Nac","no",NA,NA,NA,"2.38","-0.26","0.30"
"26","A","Pto","no",NA,NA,NA,"0.10","0.95","1.25"
"27","H","Aro","no",NA,NA,NA,"2.45","-0.29","0.95"
"28","H","Bra","no",NA,NA,NA,"2.29","-0.21","0.74"
"29","A","Fam","no",NA,NA,NA,"0.99","0.48","1.22"
"30","H","Est","no",NA,NA,NA,"2.88","-0.52","0.70"
"31","A","Ben","no",NA,NA,NA,"0.47","0.75","1.45"
"32","H","Ama","no",NA,NA,NA,"2.88","-0.52","0.92"
"33","A","Ton","no",NA,NA,NA,"2.53","-0.34","0.58"
"34","H","AVS","no",NA,NA,NA,"2.99","-0.58","0.00"
