"","HA","vs","played","Pts","GD","GS","ePts","sched","cumulative"
"1","H","Gil","yes",0,-2,0,"1.10","-0.08","-0.08"
"2","A","Rio","yes",1,0,1,"1.35","-0.33","-0.42"
"3","H","Spo","yes",0,-3,1,"0.19","0.81","0.40"
"4","A","Cas","yes",3,2,2,"1.26","-0.25","0.15"
"5","A","Pto","yes",0,-1,0,"0.11","0.89","1.04"
"6","H","Aro","yes",0,-1,1,"1.46","-0.44","0.59"
"7","A","Bra","yes",3,1,1,"0.42","0.59","1.18"
"8","H","Mor","yes",3,1,3,"1.28","-0.26","0.92"
"9","A","Est","yes",1,0,1,"0.82","0.19","1.11"
"10","H","Fam","yes",0,-1,0,"0.92","0.09","1.20"
"11","A","Ama","yes",1,0,1,"1.19","-0.18","1.03"
"12","H","Ben","yes",0,-1,1,"0.27","0.73","1.76"
"13","A","Alv","yes",0,-1,0,"0.77","0.24","2.00"
"14","H","Ton","yes",3,2,3,"1.65","-0.63","1.37"
"15","A","AVS","yes",1,0,2,"1.91","-0.89","0.48"
"16","A","Vit","yes",0,-1,1,"0.62","0.39","0.87"
"17","H","Cla","yes",1,0,3,"1.64","-0.63","0.24"
"18","A","Gil","yes",0,-1,1,"0.50","0.51","0.75"
"19","H","Rio","yes",3,4,4,"1.01","-0.00","0.74"
"20","A","Spo","yes",0,-1,1,"0.12","0.88","1.62"
"21","H","Cas","yes",1,0,0,"1.64","-0.62","1.00"
"22","H","Pto","yes",0,-1,0,"0.12","0.88","1.88"
"23","A","Aro","yes",0,-3,0,"0.87","0.14","2.02"
"24","H","Bra","yes",0,-1,1,"0.62","0.39","2.41"
"25","A","Mor","yes",1,0,1,"0.73","0.28","2.69"
"26","H","Est","yes",0,-1,0,"1.40","-0.39","2.30"
"27","A","Fam","yes",0,-1,0,"0.57","0.44","2.74"
"28","H","Ama","yes",3,2,2,"1.65","-0.63","2.11"
"29","A","Ben","yes",0,-2,0,"0.22","0.78","2.89"
"30","H","Alv","yes",3,1,1,"1.58","-0.56","2.33"
"31","A","Ton","no",NA,NA,NA,"1.59","-0.57","1.76"
"32","H","AVS","no",NA,NA,NA,"2.23","-1.20","0.56"
"33","A","Cla","no",NA,NA,NA,"1.12","-0.11","0.45"
"34","H","Vit","no",NA,NA,NA,"1.47","-0.45","-0.00"
