"","HA","vs","played","sched","cumulative"
"1","H","Lev","yes","-0.31","-0.31"
"2","H","Esp","yes","-0.90","-1.20"
"3","A","Get","yes","0.41","-0.79"
"4","H","Sev","yes","0.14","-0.66"
"5","A","Bil","yes","0.32","-0.34"
"6","A","RSo","yes","0.35","0.01"
"7","H","Mal","yes","-0.75","-0.73"
"8","A","Val","yes","0.33","-0.40"
"9","H","Cel","yes","-0.55","-0.95"
"10","A","Vil","yes","0.42","-0.53"
"11","H","Atl","yes","0.17","-0.36"
"12","A","Osa","yes","0.25","-0.11"
"13","H","RVd","yes","-0.47","-0.58"
"14","A","Eib","yes","0.02","-0.56"
"15","H","RMa","yes","0.54","-0.02"
"16","A","Gra","yes","0.28","0.26"
"17","H","Leg","yes","-0.79","-0.54"
"18","A","Bar","yes","0.73","0.20"
"19","H","Bet","yes","-0.46","-0.27"
"20","A","Lev","yes","0.21","-0.05"
"21","H","Vil","yes","-0.04","-0.10"
"22","A","Sev","yes","0.54","0.44"
"23","H","Eib","yes","-0.52","-0.08"
"24","A","Mal","yes","-0.21","-0.29"
"25","H","Bil","yes","-0.18","-0.47"
"26","A","Leg","yes","-0.26","-0.73"
"27","H","Val","yes","-0.16","-0.89"
"28","A","Esp","yes","-0.38","-1.27"
"29","H","RSo","yes","-0.13","-1.40"
"30","A","Cel","yes","-0.00","-1.40"
"31","H","Osa","yes","-0.26","-1.66"
"32","A","Atl","yes","0.56","-1.09"
"33","H","Gra","yes","-0.23","-1.32"
"34","A","RVd","yes","0.07","-1.26"
"35","A","RMa","no","0.77","-0.48"
"36","H","Get","no","-0.05","-0.53"
"37","A","Bet","no","0.08","-0.46"
"38","H","Bar","no","0.46","-0.00"
