"","HA","vs","played","sched","cumulative"
"1","A","Bil","yes","0.12","0.12"
"2","H","Bet","yes","-0.15","-0.02"
"3","A","Osa","yes","0.09","0.06"
"4","H","Val","yes","-0.07","-0.01"
"5","A","Gra","yes","0.13","0.12"
"6","H","Vil","yes","-0.07","0.05"
"7","A","Get","yes","0.19","0.25"
"8","H","Sev","yes","-0.00","0.25"
"9","A","Eib","yes","-0.01","0.24"
"10","H","RVd","yes","-0.17","0.07"
"11","A","Lev","yes","0.07","0.15"
"12","H","Cel","yes","-0.17","-0.02"
"13","A","Leg","yes","-0.11","-0.13"
"14","A","Atl","yes","0.31","0.18"
"15","H","Mal","yes","-0.23","-0.05"
"16","A","RSo","yes","0.17","0.12"
"17","H","RMa","yes","0.22","0.35"
"18","H","Ala","yes","-0.17","0.17"
"19","A","Esp","yes","-0.10","0.07"
"20","H","Gra","yes","-0.10","-0.03"
"21","A","Val","yes","0.18","0.14"
"22","H","Lev","yes","-0.13","0.01"
"23","A","Bet","yes","0.05","0.06"
"24","H","Get","yes","-0.06","0.00"
"25","H","Eib","yes","-0.18","-0.18"
"26","A","RMa","yes","0.54","0.36"
"27","H","RSo","yes","-0.07","0.29"
"28","A","Mal","yes","-0.09","0.19"
"29","H","Leg","yes","-0.23","-0.04"
"30","A","Sev","yes","0.28","0.24"
"31","H","Bil","yes","-0.10","0.13"
"32","A","Cel","yes","0.01","0.14"
"33","H","Atl","no","0.02","0.16"
"34","A","Vil","no","0.18","0.34"
"35","H","Esp","no","-0.23","0.11"
"36","A","RVd","no","0.01","0.12"
"37","H","Osa","no","-0.12","-0.00"
"38","A","Ala","no","0.00","0.00"
