"","HA","vs","played","sched","cumulative"
"1","H","RMa","yes","0.43","0.43"
"2","H","Val","yes","-0.08","0.35"
"3","A","Sev","yes","0.54","0.89"
"4","H","Gra","yes","-0.13","0.76"
"5","A","Atl","yes","0.47","1.24"
"6","H","Esp","yes","-0.78","0.45"
"7","A","Eib","yes","-0.07","0.38"
"8","H","Bil","yes","-0.27","0.11"
"9","A","Ala","yes","0.05","0.15"
"10","H","RSo","yes","0.03","0.19"
"11","A","Bet","yes","0.15","0.33"
"12","H","Get","yes","-0.01","0.32"
"13","A","Bar","yes","0.75","1.07"
"14","A","Vil","yes","0.34","1.41"
"15","H","RVd","yes","-0.48","0.92"
"16","A","Leg","yes","-0.29","0.63"
"17","H","Mal","yes","-0.76","-0.13"
"18","A","Lev","yes","0.19","0.06"
"19","H","Osa","yes","-0.32","-0.26"
"20","A","Bil","yes","0.25","-0.01"
"21","H","Eib","yes","-0.64","-0.65"
"22","A","Val","yes","0.40","-0.25"
"23","H","Sev","yes","0.14","-0.11"
"24","A","RMa","yes","0.72","0.60"
"25","H","Leg","yes","-0.85","-0.25"
"26","A","Gra","yes","0.36","0.11"
"27","A","Get","yes","0.44","0.56"
"28","H","Vil","yes","-0.15","0.40"
"29","A","RVd","yes","0.07","0.47"
"30","H","Ala","no","-0.51","-0.04"
"31","A","RSo","no","0.47","0.44"
"32","H","Bar","no","0.49","0.93"
"33","A","Mal","no","-0.20","0.72"
"34","H","Bet","no","-0.40","0.33"
"35","H","Atl","no","0.03","0.36"
"36","A","Osa","no","0.21","0.57"
"37","H","Lev","no","-0.35","0.22"
"38","A","Esp","no","-0.22","-0.00"
