"","HA","vs","played","Pts","ePts","sched","cumulative"
"1","H","Osa","yes",0,"1.10","0.05","0.05"
"2","A","Hue","yes",3,"1.82","-0.57","-0.52"
"3","H","Sev","yes",0,"0.46","0.61","0.08"
"4","A","Bil","yes",3,"1.18","-0.02","0.07"
"5","H","Gra","yes",1,"1.51","-0.30","-0.23"
"6","A","RMa","yes",3,"0.69","0.40","0.17"
"7","H","Vil","yes",1,"0.72","0.38","0.55"
"8","A","Eib","yes",3,"2.28","-0.96","-0.41"
"9","A","Atl","yes",0,"0.39","0.66","0.25"
"10","H","RSo","yes",0,"0.65","0.44","0.70"
"11","A","Elc","yes",1,"1.50","-0.30","0.40"
"12","H","Bar","yes",3,"0.31","0.73","1.13"
"13","A","Cel","yes",0,"1.35","-0.17","0.97"
"14","H","Get","yes",0,"1.39","-0.20","0.77"
"15","A","Bet","yes",0,"1.03","0.11","0.88"
"16","H","RVd","yes",1,"1.29","-0.11","0.77"
"17","A","Val","yes",1,"1.21","-0.04","0.73"
"18","H","Ala","yes",3,"1.48","-0.28","0.45"
"19","H","Lev","yes",1,"1.11","0.04","0.49"
"20","A","Sev","yes",0,"0.49","0.58","1.07"
"21","H","Atl","yes",0,"0.38","0.67","1.75"
"22","A","RSo","yes",0,"1.17","-0.00","1.74"
"23","H","Bil","yes",0,"1.39","-0.20","1.55"
"24","A","Bar","yes",1,"0.55","0.53","2.08"
"25","H","Bet","yes",0,"0.78","0.33","2.41"
"26","H","Eib","yes",3,"1.29","-0.11","2.30"
"27","A","Ala","yes",1,"1.56","-0.35","1.95"
"28","A","Vil","yes",0,"1.32","-0.13","1.81"
"29","H","Val","yes",3,"1.62","-0.39","1.42"
"30","A","Get","yes",3,"1.52","-0.31","1.11"
"31","H","Cel","yes",1,"1.20","-0.03","1.08"
"32","H","RMa","yes",0,"0.34","0.71","1.78"
"33","A","RVd","yes",1,"1.94","-0.68","1.11"
"34","A","Gra","no",NA,"0.91","0.21","1.32"
"35","H","Hue","no",NA,"1.47","-0.27","1.05"
"36","A","Osa","no",NA,"1.47","-0.27","0.78"
"37","H","Elc","no",NA,"1.66","-0.43","0.35"
"38","A","Lev","no",NA,"1.56","-0.35","0.00"
