"team","teamId","playedGames","goalDifference","points","rank"
"Real Madrid CF",86,22,27,50,1
"Sevilla FC",559,23,18,47,2
"Real Betis Balompié",90,22,16,40,3
"Club Atlético de Madrid",78,21,10,36,4
"FC Barcelona",81,21,9,35,5
"Real Sociedad de Fútbol",92,21,1,34,6
"Villarreal CF",94,22,13,32,7
"Athletic Club",77,22,4,31,8
"Rayo Vallecano de Madrid",87,22,3,31,9
"RC Celta de Vigo",558,23,3,30,10
"Valencia CF",95,22,-1,29,11
"CA Osasuna",79,23,-5,29,12
"RCD Espanyol de Barcelona",80,22,-4,27,13
"Elche CF",285,23,-5,26,14
"Getafe CF",82,23,-3,25,15
"Granada CF",83,22,-7,24,16
"RCD Mallorca",89,22,-15,23,17
"Cádiz CF",264,23,-18,18,18
"Deportivo Alavés",263,23,-21,17,19
"Levante UD",88,22,-25,11,20
