"","HA","vs","played","Pts","GD","ePts","sched","cumulative"
"1","H","RMa","yes",0,-3,"0.45","0.55","0.55"
"2","H","Mal","yes",0,-1,"1.40","-0.41","0.15"
"3","A","Val","yes",0,-3,"0.84","0.16","0.31"
"4","H","Osa","yes",0,-2,"0.86","0.14","0.44"
"5","A","Esp","yes",0,-1,"0.44","0.56","1.01"
"6","H","Atl","yes",3,1,"0.98","0.02","1.03"
"7","A","Bil","yes",0,-1,"0.85","0.15","1.17"
"8","H","Bet","yes",0,-1,"0.76","0.24","1.41"
"9","A","Cad","yes",3,2,"1.61","-0.61","0.80"
"10","H","Elc","yes",3,1,"1.65","-0.65","0.15"
"11","A","Bar","yes",1,0,"0.60","0.40","0.55"
"12","H","Lev","yes",3,1,"2.01","-1.01","-0.46"
"13","A","Sev","yes",1,0,"0.33","0.67","0.22"
"14","H","Cel","yes",0,-1,"0.91","0.09","0.31"
"15","A","Gra","yes",0,-1,"0.75","0.24","0.56"
"16","H","Get","yes",1,0,"1.72","-0.72","-0.17"
"17","A","Ray","yes",0,-2,"0.31","0.69","0.52"
"18","A","Vil","yes",0,-3,"0.64","0.36","0.88"
"19","H","RSo","yes",1,0,"0.96","0.04","0.92"
"20","H","Bil","no",NA,NA,"1.04","-0.04","0.88"
"21","A","Bet","no",NA,NA,"0.72","0.28","1.16"
"22","H","Bar","no",NA,NA,"1.13","-0.13","1.03"
"23","A","Elc","no",NA,NA,"0.95","0.05","1.08"
"24","H","Val","no",NA,NA,"1.14","-0.14","0.95"
"25","A","RMa","no",NA,NA,"0.34","0.66","1.61"
"26","A","Get","no",NA,NA,"0.78","0.22","1.82"
"27","H","Sev","no",NA,NA,"0.76","0.24","2.06"
"28","A","RSo","no",NA,NA,"0.66","0.34","2.40"
"29","H","Gra","no",NA,NA,"1.41","-0.41","1.99"
"30","A","Atl","no",NA,NA,"0.56","0.44","2.44"
"31","A","Osa","no",NA,NA,"1.33","-0.33","2.10"
"32","H","Ray","no",NA,NA,"1.61","-0.61","1.49"
"33","A","Mal","no",NA,NA,"1.06","-0.07","1.42"
"34","H","Vil","no",NA,NA,"1.22","-0.22","1.20"
"35","A","Cel","no",NA,NA,"1.27","-0.27","0.93"
"36","H","Esp","no",NA,NA,"1.58","-0.58","0.34"
"37","A","Lev","no",NA,NA,"1.21","-0.21","0.14"
"38","H","Cad","no",NA,NA,"1.13","-0.14","-0.00"
