"","HA","vs","played","Pts","GD","ePts","sched","cumulative"
"1","H","Lev","yes",1,0,"1.33","-0.35","-0.35"
"2","A","Bet","yes",1,0,"1.20","-0.22","-0.58"
"3","H","Osa","yes",0,-1,"0.39","0.60","0.03"
"4","H","RSo","yes",0,-2,"0.46","0.53","0.56"
"5","A","Cel","yes",3,1,"1.77","-0.80","-0.24"
"6","H","Bar","yes",1,0,"1.05","-0.07","-0.31"
"7","A","Ray","yes",0,-2,"0.52","0.47","0.16"
"8","H","Val","yes",1,0,"0.92","0.06","0.21"
"9","A","Esp","yes",0,-2,"0.81","0.18","0.39"
"10","H","Ala","yes",0,-2,"0.84","0.15","0.54"
"11","A","Vil","yes",1,0,"1.00","-0.01","0.53"
"12","H","Mal","yes",1,0,"0.94","0.05","0.57"
"13","A","Bil","yes",3,1,"1.23","-0.25","0.33"
"14","A","Get","yes",0,-4,"1.49","-0.52","-0.19"
"15","H","Atl","no",NA,NA,"0.51","0.48","0.29"
"16","A","Elc","no",NA,NA,"1.49","-0.51","-0.22"
"17","H","Gra","no",NA,NA,"0.91","0.08","-0.14"
"18","A","RMa","no",NA,NA,"0.82","0.16","0.02"
"19","H","Sev","no",NA,NA,"0.57","0.42","0.44"
"20","A","Osa","no",NA,NA,"1.65","-0.68","-0.24"
"21","H","Esp","no",NA,NA,"1.22","-0.24","-0.48"
"22","A","Lev","no",NA,NA,"1.72","-0.75","-1.23"
"23","A","Mal","no",NA,NA,"1.28","-0.30","-1.53"
"24","H","Cel","no",NA,NA,"0.70","0.29","-1.24"
"25","H","Get","no",NA,NA,"1.29","-0.31","-1.55"
"26","A","Gra","no",NA,NA,"1.52","-0.54","-2.09"
"27","H","Ray","no",NA,NA,"1.08","-0.09","-2.19"
"28","A","Atl","no",NA,NA,"0.73","0.26","-1.93"
"29","H","Vil","no",NA,NA,"0.94","0.05","-1.88"
"30","A","Val","no",NA,NA,"1.04","-0.06","-1.94"
"31","H","Bet","no",NA,NA,"0.47","0.52","-1.42"
"32","A","Bar","no",NA,NA,"0.83","0.15","-1.27"
"33","H","Bil","no",NA,NA,"0.68","0.31","-0.96"
"34","A","Sev","no",NA,NA,"0.57","0.42","-0.54"
"35","H","Elc","no",NA,NA,"0.99","-0.01","-0.55"
"36","A","RSo","no",NA,NA,"0.90","0.08","-0.47"
"37","H","RMa","no",NA,NA,"0.27","0.73","0.26"
"38","A","Ala","no",NA,NA,"1.24","-0.26","0.00"
