"","HA","vs","played","Pts","GD","ePts","sched","cumulative"
"1","H","Atl","yes",0,-1,"0.94","0.23","0.23"
"2","A","Osa","yes",1,0,"1.51","-0.23","0.00"
"3","H","Bil","yes",0,-1,"1.31","-0.07","-0.07"
"4","A","RMa","yes",0,-3,"0.58","0.52","0.46"
"5","H","Cad","yes",0,-1,"1.28","-0.04","0.41"
"6","A","Lev","yes",3,2,"1.49","-0.21","0.20"
"7","H","Gra","yes",3,1,"1.53","-0.25","-0.04"
"8","A","Elc","yes",0,-1,"1.26","-0.03","-0.07"
"9","H","Sev","yes",0,-1,"1.02","0.17","0.10"
"10","A","Get","yes",3,3,"1.20","0.02","0.12"
"11","H","RSo","yes",0,-2,"1.05","0.14","0.26"
"12","A","Ray","yes",1,0,"1.16","0.05","0.31"
"13","H","Bar","yes",1,0,"0.74","0.40","0.71"
"14","H","Vil","yes",1,0,"1.23","0.00","0.71"
"15","A","Ala","yes",3,1,"1.33","-0.08","0.63"
"16","H","Val","yes",0,-1,"1.25","-0.02","0.61"
"17","A","Mal","yes",1,0,"1.25","-0.02","0.59"
"18","H","Esp","yes",3,2,"1.94","-0.58","0.01"
"19","A","Bet","yes",3,2,"1.07","0.13","0.13"
"20","A","RSo","yes",0,-1,"0.93","0.24","0.38"
"21","H","Osa","yes",3,2,"1.11","0.10","0.47"
"22","A","Sev","yes",1,0,"0.64","0.48","0.95"
"23","H","Ray","yes",3,2,"1.70","-0.39","0.57"
"24","A","Cad","yes",1,0,"1.69","-0.38","0.18"
"25","H","Lev","yes",1,0,"1.69","-0.37","-0.19"
"26","A","Atl","yes",0,-2,"0.68","0.44","0.26"
"27","H","Mal","yes",3,1,"1.75","-0.43","-0.17"
"28","A","Vil","yes",0,-1,"0.88","0.28","0.11"
"29","H","Bet","yes",1,0,"0.81","0.34","0.45"
"30","H","RMa","yes",0,-1,"0.51","0.59","1.04"
"31","A","Esp","yes",0,-1,"0.98","0.20","1.24"
"32","A","Bil","yes",3,2,"0.96","0.22","1.46"
"33","H","Get","yes",0,-2,"1.81","-0.48","0.98"
"34","A","Gra","yes",1,0,"1.49","-0.22","0.76"
"35","H","Ala","yes",3,4,"2.12","-0.73","0.04"
"36","A","Bar","yes",0,-2,"0.82","0.33","0.37"
"37","H","Elc","yes",3,1,"1.59","-0.30","0.08"
"38","A","Val","yes",0,-2,"1.32","-0.08","-0.00"
