"","HA","vs","played","Pts","GD","ePts","sched","cumulative"
"1","A","Vil","yes",1,0,"0.81","0.32","0.32"
"2","H","Val","yes",1,0,"1.53","-0.27","0.05"
"3","A","Ray","yes",0,-4,"0.30","0.75","0.80"
"4","H","Bet","yes",0,-1,"0.92","0.23","1.03"
"5","A","Bar","yes",1,0,"0.65","0.46","1.49"
"6","H","RSo","yes",0,-1,"1.24","-0.03","1.46"
"7","A","Cel","yes",0,-1,"1.41","-0.18","1.28"
"8","H","Sev","yes",3,1,"1.12","0.06","1.34"
"9","A","Osa","yes",1,0,"1.39","-0.16","1.18"
"10","H","Get","yes",1,0,"1.97","-0.65","0.54"
"11","A","Lev","yes",3,3,"1.35","-0.13","0.41"
"12","A","Esp","yes",0,-2,"0.48","0.60","1.01"
"13","H","RMa","yes",0,-3,"0.53","0.55","1.57"
"14","A","Bil","yes",1,0,"1.05","0.13","1.69"
"15","H","Ala","yes",3,1,"1.73","-0.45","1.25"
"16","A","Cad","yes",1,0,"1.63","-0.36","0.88"
"17","H","Mal","yes",3,3,"1.60","-0.34","0.55"
"18","H","Atl","no",NA,NA,"1.17","0.02","0.57"
"19","A","Elc","no",NA,NA,"1.01","0.16","0.72"
"20","H","Bar","no",NA,NA,"1.65","-0.38","0.34"
"21","A","Get","no",NA,NA,"1.23","-0.02","0.32"
"22","H","Osa","no",NA,NA,"1.00","0.16","0.48"
"23","A","RMa","no",NA,NA,"0.34","0.71","1.19"
"24","A","RSo","no",NA,NA,"0.83","0.31","1.50"
"25","H","Vil","no",NA,NA,"1.54","-0.28","1.22"
"26","H","Cad","no",NA,NA,"1.54","-0.29","0.93"
"27","A","Val","no",NA,NA,"0.77","0.36","1.29"
"28","H","Elc","no",NA,NA,"1.96","-0.64","0.65"
"29","A","Ala","no",NA,NA,"1.11","0.07","0.72"
"30","H","Ray","no",NA,NA,"1.87","-0.56","0.16"
"31","A","Sev","no",NA,NA,"0.30","0.75","0.91"
"32","H","Lev","no",NA,NA,"2.20","-0.83","0.08"
"33","A","Atl","no",NA,NA,"0.66","0.45","0.53"
"34","H","Cel","no",NA,NA,"1.25","-0.05","0.48"
"35","A","Mal","no",NA,NA,"1.07","0.11","0.59"
"36","H","Bil","no",NA,NA,"1.48","-0.24","0.36"
"37","A","Bet","no",NA,NA,"0.71","0.41","0.76"
"38","H","Esp","no",NA,NA,"2.11","-0.76","0.00"
