"","HA","vs","played","Pts","GD","ePts","sched","cumulative"
"1","H","Bet","yes",1,0,"0.78","0.28","0.28"
"2","A","Ala","yes",3,1,"1.14","-0.05","0.23"
"3","H","Esp","yes",3,1,"1.81","-0.66","-0.43"
"4","A","Bil","yes",0,-2,"0.82","0.25","-0.19"
"5","H","Vil","yes",1,0,"1.32","-0.22","-0.40"
"6","A","RMa","yes",0,-5,"0.39","0.65","0.24"
"7","H","Osa","yes",0,-1,"1.03","0.06","0.30"
"8","H","Lev","yes",3,1,"2.20","-1.02","-0.73"
"9","A","RSo","yes",0,-1,"0.73","0.33","-0.40"
"10","A","Val","yes",1,0,"0.88","0.19","-0.20"
"11","H","Sev","yes",1,0,"0.99","0.09","-0.11"
"12","A","Cad","yes",1,0,"1.68","-0.54","-0.65"
"13","H","Elc","yes",1,0,"1.57","-0.45","-1.10"
"14","A","Ray","yes",0,-2,"0.40","0.63","-0.47"
"15","H","Get","yes",1,0,"1.87","-0.72","-1.19"
"16","A","Atl","yes",3,1,"0.49","0.55","-0.63"
"17","H","Cel","yes",1,0,"1.04","0.04","-0.59"
"18","A","Gra","yes",0,-3,"0.85","0.22","-0.37"
"19","H","Bar","yes",0,-1,"1.17","-0.07","-0.45"
"20","A","Lev","yes",0,-2,"1.33","-0.22","-0.67"
"21","A","Vil","yes",0,-3,"0.63","0.42","-0.25"
"22","H","Cad","yes",3,1,"1.41","-0.30","-0.54"
"23","H","Bil","no",NA,NA,"1.08","0.00","-0.54"
"24","A","Bet","no",NA,NA,"0.79","0.27","-0.27"
"25","H","Val","no",NA,NA,"1.36","-0.25","-0.52"
"26","H","RSo","no",NA,NA,"1.14","-0.05","-0.57"
"27","A","Cel","no",NA,NA,"1.05","0.03","-0.54"
"28","H","RMa","no",NA,NA,"0.56","0.49","-0.05"
"29","A","Esp","no",NA,NA,"0.64","0.41","0.36"
"30","A","Get","no",NA,NA,"0.70","0.35","0.71"
"31","H","Atl","no",NA,NA,"1.24","-0.14","0.58"
"32","A","Elc","no",NA,NA,"0.79","0.27","0.85"
"33","H","Ala","no",NA,NA,"1.85","-0.70","0.14"
"34","A","Bar","no",NA,NA,"0.54","0.50","0.65"
"35","H","Gra","no",NA,NA,"1.66","-0.52","0.12"
"36","A","Sev","no",NA,NA,"0.36","0.67","0.79"
"37","H","Ray","no",NA,NA,"1.87","-0.72","0.07"
"38","A","Osa","no",NA,NA,"1.17","-0.07","0.00"
