"","HA","vs","played","Pts","GD","ePts","sched","cumulative"
"1","H","Esp","yes",1,0,"1.58","-0.22","-0.22"
"2","H","Cel","yes",1,0,"0.74","0.43","0.21"
"3","A","Cad","yes",3,1,"2.30","-0.78","-0.58"
"4","H","Val","yes",0,-3,"0.97","0.25","-0.33"
"5","A","Ala","yes",3,2,"1.87","-0.45","-0.78"
"6","H","Bet","yes",0,-2,"0.52","0.60","-0.18"
"7","A","Mal","yes",3,1,"1.85","-0.44","-0.62"
"8","H","Ray","yes",3,1,"1.29","0.00","-0.62"
"9","A","Vil","yes",3,1,"1.56","-0.21","-0.83"
"10","H","Gra","yes",1,0,"1.16","0.10","-0.73"
"11","A","RMa","yes",1,0,"0.81","0.37","-0.36"
"12","A","Sev","yes",0,-2,"0.87","0.33","-0.03"
"13","H","RSo","yes",0,-2,"0.74","0.43","0.40"
"14","A","Atl","yes",0,-1,"1.36","-0.06","0.34"
"15","H","Elc","yes",1,0,"1.33","-0.03","0.31"
"16","A","Lev","yes",1,0,"2.09","-0.62","-0.32"
"17","H","Bar","yes",1,0,"1.08","0.16","-0.15"
"18","A","Get","no",NA,NA,"1.98","-0.54","-0.69"
"19","H","Bil","no",NA,NA,"0.91","0.29","-0.39"
"20","H","Cad","no",NA,NA,"0.98","0.24","-0.15"
"21","A","Cel","no",NA,NA,"2.15","-0.67","-0.82"
"22","A","Gra","no",NA,NA,"1.79","-0.39","-1.21"
"23","H","Sev","no",NA,NA,"0.64","0.50","-0.71"
"24","A","Ray","no",NA,NA,"0.71","0.45","-0.26"
"25","H","Atl","no",NA,NA,"0.64","0.50","0.25"
"26","A","RSo","no",NA,NA,"1.41","-0.09","0.16"
"27","H","Vil","no",NA,NA,"1.17","0.09","0.25"
"28","A","Bar","no",NA,NA,"1.42","-0.10","0.15"
"29","H","Lev","no",NA,NA,"1.67","-0.30","-0.15"
"30","A","Bet","no",NA,NA,"1.43","-0.11","-0.25"
"31","H","Ala","no",NA,NA,"1.18","0.08","-0.17"
"32","A","Val","no",NA,NA,"1.50","-0.16","-0.33"
"33","H","RMa","no",NA,NA,"0.28","0.78","0.45"
"34","A","Elc","no",NA,NA,"1.78","-0.38","0.07"
"35","A","Esp","no",NA,NA,"1.07","0.17","0.24"
"36","H","Get","no",NA,NA,"1.42","-0.10","0.14"
"37","A","Bil","no",NA,NA,"1.83","-0.42","-0.28"
"38","H","Mal","no",NA,NA,"0.93","0.28","-0.00"
