"","HA","vs","played","Pts","GD","ePts","sched","cumulative"
"1","A","Bar","yes",0,-2,"0.87","0.44","0.44"
"2","H","Ray","yes",3,1,"2.11","-0.36","0.08"
"3","H","Lev","yes",3,1,"2.23","-0.43","-0.35"
"4","A","Cad","yes",3,2,"1.90","-0.22","-0.57"
"5","H","Sev","yes",1,0,"1.52","0.02","-0.55"
"6","A","Gra","yes",3,1,"1.63","-0.05","-0.60"
"7","H","Elc","yes",3,1,"2.01","-0.29","-0.89"
"8","A","Get","yes",1,0,"1.39","0.10","-0.79"
"9","H","Mal","yes",3,1,"2.28","-0.47","-1.26"
"10","A","Atl","yes",1,0,"0.77","0.51","-0.75"
"11","A","Cel","yes",3,2,"1.62","-0.04","-0.80"
"12","H","Bil","yes",1,0,"1.78","-0.14","-0.94"
"13","A","Osa","yes",3,2,"1.61","-0.04","-0.97"
"14","H","Val","yes",1,0,"1.75","-0.12","-1.10"
"15","A","Esp","yes",0,-1,"1.12","0.28","-0.82"
"16","H","RMa","yes",0,-2,"0.78","0.50","-0.32"
"17","A","Bet","yes",0,-4,"1.30","0.16","-0.16"
"18","H","Vil","yes",0,-2,"1.92","-0.24","-0.40"
"19","A","Ala","yes",1,0,"1.44","0.07","-0.33"
"20","H","Cel","yes",3,1,"1.72","-0.11","-0.43"
"21","H","Get","yes",1,0,"2.20","-0.41","-0.85"
"22","A","Val","yes",1,0,"1.58","-0.02","-0.87"
"23","H","Gra","yes",3,2,"1.96","-0.26","-1.13"
"24","A","Bil","yes",0,-4,"1.20","0.23","-0.91"
"25","H","Osa","yes",3,1,"1.55","0.00","-0.91"
"26","A","Mal","yes",3,2,"1.48","0.04","-0.86"
"27","A","RMa","yes",0,-3,"0.70","0.55","-0.31"
"28","H","Ala","yes",3,1,"2.42","-0.56","-0.87"
"29","A","Sev","yes",1,0,"0.81","0.48","-0.39"
"30","H","Esp","yes",3,1,"2.34","-0.51","-0.90"
"31","A","Elc","yes",3,1,"1.44","0.07","-0.82"
"32","H","Bet","yes",1,0,"1.25","0.19","-0.63"
"33","H","Bar","yes",0,-1,"1.14","0.27","-0.37"
"34","A","Ray","yes",1,0,"1.16","0.25","-0.11"
"35","A","Lev","yes",0,-1,"1.71","-0.10","-0.21"
"36","H","Cad","no",NA,NA,"1.81","-0.17","-0.38"
"37","A","Vil","no",NA,NA,"0.94","0.39","0.01"
"38","H","Atl","no",NA,NA,"1.58","-0.01","0.00"
