"","HA","vs","played","Pts","GD","GS","ePts","sched","cumulative"
"1","H","Elc","yes",3,3,3,"2.53","-0.61","-0.61"
"2","A","Mal","yes",3,1,2,"1.27","0.19","-0.42"
"3","H","Osa","yes",3,1,1,"1.80","-0.15","-0.57"
"4","A","RMa","yes",0,-1,1,"0.64","0.59","0.02"
"5","H","Vil","yes",3,1,1,"1.62","-0.04","-0.02"
"6","H","Gir","yes",3,1,2,"2.17","-0.39","-0.41"
"7","A","Cel","yes",0,-1,0,"1.52","0.03","-0.38"
"8","A","Vdd","yes",1,0,0,"1.47","0.06","-0.32"
"9","H","Alm","yes",3,2,3,"2.42","-0.54","-0.86"
"10","A","Cad","yes",1,0,0,"1.77","-0.13","-0.99"
"11","H","Atl","yes",0,-1,1,"0.87","0.44","-0.55"
"12","A","RSo","yes",3,2,2,"1.06","0.32","-0.22"
"13","H","Sev","yes",1,0,1,"1.80","-0.15","-0.38"
"14","A","Val","yes",0,-3,0,"1.60","-0.02","-0.39"
"15","H","Bil","yes",1,0,0,"1.54","0.01","-0.38"
"16","A","Ray","yes",3,1,2,"1.30","0.17","-0.21"
"17","A","Esp","yes",0,-1,0,"2.02","-0.29","-0.50"
"18","A","Get","yes",3,1,1,"1.66","-0.06","-0.56"
"19","H","Bar","yes",0,-1,1,"0.60","0.62","0.05"
"20","H","Cel","yes",0,-1,3,"1.84","-0.17","-0.12"
"21","A","Alm","yes",3,1,3,"1.25","0.20","0.08"
"22","H","Vdd","yes",3,1,2,"2.15","-0.37","-0.29"
"23","A","Elc","yes",3,1,3,"2.46","-0.57","-0.86"
"24","H","RMa","yes",1,0,0,"0.99","0.37","-0.49"
"25","A","Vil","yes",1,0,1,"1.15","0.27","-0.22"
"26","H","Mal","yes",3,1,1,"2.04","-0.30","-0.52"
"27","A","Atl","yes",0,-1,0,"0.88","0.44","-0.09"
"28","H","Cad","yes",0,-2,0,"1.96","-0.25","-0.34"
"29","H","Esp","yes",3,2,3,"2.00","-0.28","-0.61"
"30","A","Osa","yes",0,-1,2,"1.27","0.19","-0.42"
"31","H","RSo","yes",1,0,0,"1.35","0.14","-0.29"
"32","A","Bar","no",NA,NA,NA,"0.37","0.76","0.47"
"33","A","Bil","no",NA,NA,NA,"1.31","0.17","0.64"
"34","H","Ray","no",NA,NA,NA,"1.78","-0.14","0.50"
"35","A","Sev","no",NA,NA,NA,"1.51","0.03","0.54"
"36","H","Get","no",NA,NA,NA,"2.17","-0.39","0.15"
"37","A","Gir","no",NA,NA,NA,"1.09","0.31","0.46"
"38","H","Val","no",NA,NA,NA,"2.28","-0.46","-0.00"
