"","HA","vs","played","Pts","GD","GS","ePts","sched","cumulative"
"1","A","Bar","yes",1,0,0,"0.63","0.57","0.57"
"2","A","Esp","yes",3,2,2,"2.05","-0.38","0.19"
"3","H","Mal","yes",0,-2,0,"1.53","-0.03","0.16"
"4","A","Osa","yes",0,-1,1,"0.96","0.35","0.51"
"5","H","Val","yes",3,1,2,"1.83","-0.23","0.28"
"6","A","Bil","yes",0,-1,2,"1.14","0.23","0.51"
"7","H","Elc","yes",3,1,2,"2.46","-0.66","-0.15"
"8","A","Alm","yes",0,-2,1,"1.13","0.24","0.09"
"9","H","Get","yes",1,0,0,"1.92","-0.29","-0.20"
"10","A","Atl","yes",1,0,1,"1.36","0.08","-0.12"
"11","H","Cad","yes",3,4,5,"1.77","-0.19","-0.31"
"12","A","Sev","yes",3,1,1,"1.87","-0.26","-0.57"
"13","H","RMa","yes",3,1,3,"0.73","0.51","-0.07"
"14","H","Cel","yes",1,0,0,"1.92","-0.30","-0.36"
"15","A","Gir","yes",1,0,2,"1.35","0.09","-0.28"
"16","H","Bet","yes",0,-1,1,"1.39","0.06","-0.21"
"17","A","Vdd","yes",3,1,1,"1.53","-0.03","-0.25"
"18","H","RSo","no",NA,NA,NA,"0.96","0.35","0.10"
"19","A","Vil","no",NA,NA,NA,"0.86","0.42","0.52"
"20","H","Alm","no",NA,NA,NA,"2.36","-0.59","-0.07"
"21","A","Get","no",NA,NA,NA,"1.70","-0.15","-0.22"
"22","H","Sev","no",NA,NA,NA,"1.74","-0.17","-0.39"
"23","A","Cad","no",NA,NA,NA,"1.74","-0.17","-0.56"
"24","H","Bil","no",NA,NA,NA,"1.73","-0.16","-0.72"
"25","A","Cel","no",NA,NA,NA,"1.60","-0.08","-0.80"
"26","H","Gir","no",NA,NA,NA,"2.03","-0.37","-1.17"
"27","A","Val","no",NA,NA,NA,"1.47","0.01","-1.16"
"28","H","Atl","no",NA,NA,NA,"1.10","0.26","-0.90"
"29","H","Osa","no",NA,NA,NA,"1.39","0.06","-0.84"
"30","A","RSo","no",NA,NA,NA,"0.85","0.42","-0.41"
"31","H","Bar","no",NA,NA,NA,"0.42","0.72","0.31"
"32","A","Elc","no",NA,NA,NA,"2.47","-0.67","-0.36"
"33","H","Vdd","no",NA,NA,NA,"2.18","-0.47","-0.83"
"34","A","Bet","no",NA,NA,NA,"1.02","0.32","-0.51"
"35","H","Esp","no",NA,NA,NA,"1.62","-0.09","-0.60"
"36","A","RMa","no",NA,NA,NA,"0.51","0.66","0.05"
"37","H","Vil","no",NA,NA,NA,"1.57","-0.06","-0.00"
"38","A","Mal","no",NA,NA,NA,"1.48","0.00","-0.00"
