"","HA","vs","played","Pts","GD","GS","ePts","sched","cumulative"
"1","A","Osa","yes",0,-1,1,"0.76","0.29","0.29"
"2","H","Vdd","yes",1,0,1,"1.60","-0.51","-0.22"
"3","A","Alm","yes",0,-1,1,"0.90","0.15","-0.07"
"4","H","Bar","yes",0,-3,0,"0.19","0.82","0.75"
"5","A","Esp","yes",3,1,3,"1.62","-0.52","0.22"
"6","A","Vil","yes",1,0,1,"0.67","0.37","0.60"
"7","H","Atl","yes",0,-2,0,"0.56","0.47","1.07"
"8","H","Bil","yes",1,0,1,"1.07","-0.01","1.06"
"9","A","Mal","yes",3,1,1,"1.14","-0.07","0.99"
"10","H","Val","yes",1,0,1,"1.14","-0.08","0.92"
"11","A","RMa","yes",0,-2,1,"0.39","0.63","1.55"
"12","H","Ray","yes",0,-1,0,"0.83","0.22","1.76"
"13","A","Bet","yes",1,0,1,"0.82","0.23","1.99"
"14","H","RSo","yes",0,-1,1,"0.42","0.60","2.59"
"15","A","Cel","yes",1,0,1,"1.38","-0.30","2.30"
"16","H","Get","yes",3,1,2,"1.26","-0.19","2.11"
"17","A","Gir","yes",0,-1,1,"1.11","-0.05","2.06"
"18","H","Cad","no",NA,0,0,"1.13","-0.06","2.00"
"19","H","Elc","no",NA,NA,NA,"1.92","-0.81","1.19"
"20","A","Bar","no",NA,NA,NA,"0.49","0.54","1.73"
"21","H","Mal","no",NA,NA,NA,"0.88","0.17","1.90"
"22","A","Ray","no",NA,NA,NA,"1.10","-0.04","1.86"
"23","H","Osa","no",NA,NA,NA,"0.77","0.28","2.14"
"24","A","Atl","no",NA,NA,NA,"1.04","0.02","2.16"
"25","H","Alm","no",NA,NA,NA,"1.83","-0.73","1.44"
"26","A","Get","no",NA,NA,NA,"1.46","-0.37","1.06"
"27","A","Cad","no",NA,NA,NA,"1.62","-0.52","0.54"
"28","H","Cel","no",NA,NA,NA,"1.35","-0.27","0.27"
"29","A","Val","no",NA,NA,NA,"1.24","-0.17","0.09"
"30","H","Vil","no",NA,NA,NA,"0.90","0.15","0.24"
"31","A","Bil","no",NA,NA,NA,"0.92","0.14","0.38"
"32","H","Gir","no",NA,NA,NA,"1.34","-0.26","0.12"
"33","H","Esp","no",NA,NA,NA,"0.93","0.12","0.24"
"34","A","Vdd","no",NA,NA,NA,"1.30","-0.23","0.01"
"35","H","Bet","no",NA,NA,NA,"0.92","0.13","0.14"
"36","A","Elc","no",NA,NA,NA,"2.32","-1.19","-1.05"
"37","H","RMa","no",NA,NA,NA,"0.34","0.68","-0.37"
"38","A","RSo","no",NA,NA,NA,"0.67","0.37","-0.00"
