"","HA","vs","played","Pts","GD","GS","ePts","sched","cumulative"
"1","H","Vil","yes",0,-3,0,"1.26","-0.26","-0.26"
"2","A","Sev","yes",1,0,1,"1.06","-0.06","-0.33"
"3","A","Bar","yes",0,-4,0,"0.26","0.74","0.42"
"4","H","Alm","yes",3,1,1,"2.15","-1.15","-0.73"
"5","A","Gir","yes",0,-1,1,"0.64","0.36","-0.37"
"6","H","Cad","yes",0,-1,0,"1.46","-0.46","-0.83"
"7","A","Get","yes",3,1,3,"0.80","0.20","-0.63"
"8","H","Bet","yes",1,0,0,"1.10","-0.10","-0.73"
"9","A","Esp","yes",0,-1,0,"1.29","-0.29","-1.02"
"10","H","Cel","yes",3,3,4,"1.63","-0.63","-1.65"
"11","H","RSo","yes",3,1,1,"0.71","0.28","-1.36"
"12","A","Osa","yes",0,-2,0,"0.48","0.52","-0.85"
"13","H","Elc","yes",3,1,2,"2.28","-1.28","-2.12"
"14","A","Bil","yes",0,-3,0,"0.50","0.50","-1.63"
"15","H","RMa","yes",0,-2,0,"0.52","0.48","-1.15"
"16","A","Mal","yes",0,-1,0,"0.73","0.27","-0.88"
"17","H","Ray","yes",0,-1,0,"1.19","-0.19","-1.07"
"18","A","Atl","no",NA,NA,NA,"0.65","0.35","-0.72"
"19","H","Val","no",NA,NA,NA,"1.54","-0.54","-1.26"
"20","A","RSo","no",NA,NA,NA,"0.39","0.61","-0.66"
"21","H","Osa","no",NA,NA,NA,"1.11","-0.11","-0.77"
"22","A","Bet","no",NA,NA,NA,"0.43","0.57","-0.20"
"23","A","Cel","no",NA,NA,NA,"0.84","0.16","-0.04"
"24","H","Esp","no",NA,NA,NA,"1.49","-0.49","-0.52"
"25","A","Elc","no",NA,NA,NA,"1.86","-0.86","-1.38"
"26","H","Bil","no",NA,NA,NA,"1.33","-0.33","-1.71"
"27","A","RMa","no",NA,NA,NA,"0.20","0.80","-0.91"
"28","H","Mal","no",NA,NA,NA,"1.12","-0.12","-1.04"
"29","A","Vil","no",NA,NA,NA,"0.35","0.65","-0.39"
"30","H","Gir","no",NA,NA,NA,"1.75","-0.75","-1.14"
"31","A","Val","no",NA,NA,NA,"0.71","0.29","-0.85"
"32","H","Atl","no",NA,NA,NA,"0.78","0.22","-0.64"
"33","A","Ray","no",NA,NA,NA,"0.56","0.44","-0.20"
"34","H","Sev","no",NA,NA,NA,"1.44","-0.44","-0.64"
"35","A","Cad","no",NA,NA,NA,"0.95","0.05","-0.59"
"36","H","Bar","no",NA,NA,NA,"0.30","0.70","0.10"
"37","A","Alm","no",NA,NA,NA,"0.49","0.51","0.61"
"38","H","Get","no",NA,NA,NA,"1.61","-0.61","0.00"
