"","HA","vs","played","Pts","GD","GS","ePts","sched","cumulative"
"1","A","Vdd","yes",3,3,3,"1.42","0.12","0.12"
"2","A","Atl","yes",3,2,2,"0.93","0.42","0.54"
"3","A","Get","yes",1,0,0,"1.49","0.07","0.61"
"4","H","Elc","yes",3,4,4,"2.46","-0.53","0.08"
"5","A","Bet","yes",0,-1,0,"1.02","0.36","0.44"
"6","H","Sev","yes",1,0,1,"2.05","-0.28","0.17"
"7","A","Cad","yes",1,0,0,"1.55","0.03","0.20"
"8","A","RSo","yes",0,-1,0,"1.15","0.28","0.48"
"9","H","Osa","yes",3,2,2,"1.98","-0.23","0.25"
"10","A","Bar","yes",0,-3,0,"0.36","0.77","1.02"
"11","H","Alm","yes",3,1,2,"2.55","-0.59","0.44"
"12","A","Bil","yes",0,-1,0,"1.38","0.14","0.58"
"13","H","Mal","yes",0,-2,0,"2.22","-0.38","0.19"
"14","A","Esp","yes",3,1,1,"1.84","-0.14","0.05"
"15","H","Val","yes",3,1,2,"2.39","-0.49","-0.44"
"16","H","RMa","yes",3,1,2,"1.14","0.29","-0.15"
"17","A","Cel","yes",1,0,1,"1.40","0.13","-0.02"
"18","H","Gir","yes",3,1,1,"2.24","-0.39","-0.41"
"19","H","Ray","yes",0,-1,0,"1.88","-0.17","-0.58"
"20","A","Elc","yes",0,-2,1,"2.26","-0.41","-0.99"
"21","H","Bar","yes",0,-1,0,"0.56","0.65","-0.34"
"22","A","Mal","yes",0,-2,2,"1.26","0.22","-0.12"
"23","H","Get","yes",3,1,2,"2.19","-0.36","-0.48"
"24","A","Alm","yes",3,2,2,"1.13","0.29","-0.19"
"25","H","Bet","yes",1,0,1,"1.68","-0.05","-0.24"
"26","A","Osa","yes",3,3,3,"1.35","0.16","-0.08"
"27","H","RSo","yes",3,2,2,"1.43","0.11","0.03"
"28","A","RMa","no",NA,NA,NA,"0.54","0.66","0.69"
"29","H","Vdd","no",NA,NA,NA,"2.37","-0.47","0.22"
"30","A","Sev","no",NA,NA,NA,"1.53","0.04","0.26"
"31","H","Esp","no",NA,NA,NA,"2.08","-0.29","-0.03"
"32","H","Cel","no",NA,NA,NA,"1.95","-0.22","-0.24"
"33","A","Val","no",NA,NA,NA,"1.37","0.14","-0.10"
"34","H","Bil","no",NA,NA,NA,"1.91","-0.19","-0.29"
"35","A","Gir","no",NA,NA,NA,"1.21","0.25","-0.04"
"36","H","Cad","no",NA,NA,NA,"2.19","-0.36","-0.41"
"37","A","Ray","no",NA,NA,NA,"1.43","0.11","-0.30"
"38","H","Atl","no",NA,NA,NA,"1.12","0.30","-0.00"
