"","HA","vs","played","Pts","GD","GS","ePts","sched","cumulative"
"1","A","Atl","yes",0,-2,1,"0.03","0.93","0.93"
"2","H","Ray","yes",0,-2,0,"0.74","-0.56","0.37"
"3","H","Mal","yes",3,1,3,"1.13","-1.37","-1.00"
"4","A","RSo","yes",0,-2,3,"0.17","0.64","-0.36"
"5","H","Gir","yes",0,-2,2,"0.30","0.37","0.01"
"6","A","Lpa","yes",0,-1,0,"0.21","0.56","0.57"
"7","H","Bet","yes",1,0,1,"0.79","-0.66","-0.10"
"8","A","Alm","yes",1,0,3,"0.76","-0.59","-0.69"
"9","H","Bar","yes",1,0,2,"0.19","0.60","-0.09"
"10","A","Osa","yes",0,-2,0,"0.22","0.54","0.45"
"11","H","Vil","yes",0,-1,2,"0.50","-0.05","0.40"
"12","A","Val","yes",0,-1,0,"0.12","0.75","1.15"
"13","H","Get","yes",1,0,1,"0.93","-0.94","0.21"
"14","A","Ala","yes",0,-2,1,"0.24","0.49","0.70"
"15","A","RMa","yes",0,-2,0,"0.03","0.94","1.64"
"16","H","Bil","yes",1,0,1,"0.50","-0.05","1.59"
"17","A","Cel","yes",0,-1,0,"0.44","0.09","1.68"
"18","H","Sev","yes",0,-3,0,"0.84","-0.76","0.91"
"19","H","Cad","yes",3,2,2,"1.42","-1.98","-1.06"
"20","A","Bet","yes",0,-1,0,"0.13","0.73","-0.34"
"21","H","Atl","yes",0,-1,0,"0.58","-0.21","-0.55"
"22","A","Get","yes",0,-2,0,"0.13","0.72","0.17"
"23","H","Lpa","yes",1,0,1,"0.69","-0.45","-0.28"
"24","A","Bar","yes",1,0,3,"0.06","0.87","0.59"
"25","H","Alm","yes",1,0,1,"1.62","-2.40","-1.81"
"26","A","Vil","yes",0,-4,1,"0.31","0.35","-1.47"
"27","H","RSo","yes",0,-1,2,"0.40","0.17","-1.30"
"28","A","Mal","yes",0,-1,0,"0.22","0.53","-0.77"
"29","A","Cad","yes",0,-1,0,"0.29","0.40","-0.37"
"30","H","Val","no",NA,NA,NA,"0.80","-0.69","-1.05"
"31","H","Ala","no",NA,NA,NA,"1.01","-1.13","-2.18"
"32","A","Bil","no",NA,NA,NA,"0.05","0.89","-1.29"
"33","H","Osa","no",NA,NA,NA,"0.62","-0.30","-1.59"
"34","A","Sev","no",NA,NA,NA,"0.28","0.41","-1.18"
"35","H","RMa","no",NA,NA,NA,"0.12","0.75","-0.43"
"36","A","Ray","no",NA,NA,NA,"0.35","0.27","-0.16"
"37","H","Cel","no",NA,NA,NA,"0.83","-0.75","-0.91"
"38","A","Gir","no",NA,NA,NA,"0.04","0.91","-0.00"
