"","HA","vs","played","Pts","GD","GS","ePts","sched","cumulative"
"1","H","Gir","yes",1,0,1,"0.88","0.44","0.44"
"2","H","Cel","yes",1,0,1,"1.77","-0.12","0.32"
"3","A","Lpa","yes",1,0,0,"1.74","-0.10","0.22"
"4","H","Gra","yes",3,2,5,"2.67","-0.69","-0.47"
"5","A","RMa","yes",0,-1,1,"0.35","0.78","0.31"
"6","H","Get","yes",3,1,4,"1.88","-0.19","0.12"
"7","A","Val","yes",3,1,1,"1.27","0.20","0.32"
"8","H","Bil","yes",3,3,3,"1.29","0.18","0.50"
"9","A","Atl","yes",0,-1,1,"0.43","0.72","1.23"
"10","H","Mal","yes",3,1,1,"2.08","-0.32","0.91"
"11","A","Ray","yes",1,0,2,"2.09","-0.32","0.59"
"12","H","Bar","yes",0,-1,0,"0.58","0.63","1.22"
"13","A","Alm","yes",3,2,3,"2.55","-0.61","0.61"
"14","H","Sev","yes",3,1,2,"1.78","-0.13","0.48"
"15","A","Osa","yes",1,0,1,"1.78","-0.12","0.35"
"16","A","Vil","yes",3,3,3,"2.02","-0.28","0.07"
"17","H","Bet","yes",1,0,0,"1.72","-0.09","-0.02"
"18","A","Cad","yes",1,0,0,"1.96","-0.24","-0.26"
"19","H","Ala","yes",1,0,1,"1.96","-0.24","-0.51"
"20","A","Bil","yes",0,-1,1,"0.67","0.57","0.07"
"21","A","Cel","yes",3,1,1,"2.24","-0.42","-0.35"
"22","H","Ray","yes",1,0,0,"1.66","-0.05","-0.40"
"23","A","Gir","yes",1,0,0,"0.57","0.64","0.24"
"24","H","Osa","yes",0,-1,0,"1.48","0.06","0.30"
"25","A","Mal","yes",3,1,2,"1.78","-0.13","0.17"
"26","H","Vil","yes",0,-2,1,"1.29","0.18","0.35"
"27","A","Sev","yes",0,-1,2,"1.95","-0.24","0.11"
"28","A","Gra","yes",3,1,3,"2.38","-0.51","-0.40"
"29","H","Cad","yes",3,2,2,"2.31","-0.46","-0.86"
"30","A","Ala","yes",3,1,1,"1.85","-0.17","-1.02"
"31","H","Alm","no",NA,NA,NA,"2.44","-0.55","-1.57"
"32","A","Get","no",NA,NA,NA,"1.37","0.13","-1.44"
"33","H","RMa","no",NA,NA,NA,"0.38","0.76","-0.68"
"34","H","Lpa","no",NA,NA,NA,"1.59","-0.01","-0.68"
"35","A","Bar","no",NA,NA,NA,"0.81","0.49","-0.19"
"36","H","Val","no",NA,NA,NA,"1.65","-0.04","-0.24"
"37","A","Bet","no",NA,NA,NA,"1.36","0.14","-0.10"
"38","H","Atl","no",NA,NA,NA,"1.43","0.10","0.00"
