"","HA","vs","played","Pts","GD","GS","ePts","sched","cumulative"
"1","H","Get","yes",1,0,1,"1.95","-0.06","-0.06"
"2","A","FCB","yes",0,-1,1,"1.08","0.41","0.35"
"3","H","Val","yes",3,1,1,"2.55","-0.38","-0.03"
"4","H","Atl","yes",0,-1,0,"1.32","0.28","0.25"
"5","A","Lpa","yes",3,1,3,"2.16","-0.17","0.08"
"6","A","Leg","yes",3,2,2,"1.98","-0.07","0.01"
"7","H","Cel","yes",3,2,3,"2.49","-0.35","-0.34"
"8","H","Sev","yes",1,0,1,"2.11","-0.15","-0.49"
"9","A","Gir","yes",0,-1,1,"1.69","0.08","-0.41"
"10","H","Esp","yes",3,3,4,"2.71","-0.47","-0.88"
"11","A","Mal","yes",1,0,0,"1.60","0.13","-0.75"
"12","H","Bet","yes",1,0,1,"2.15","-0.17","-0.92"
"13","A","RVa","yes",1,0,1,"2.22","-0.20","-1.12"
"14","H","RSo","yes",3,1,1,"2.07","-0.12","-1.24"
"15","A","Ray","yes",3,1,2,"1.58","0.14","-1.10"
"16","H","RMa","yes",3,1,2,"1.40","0.24","-0.86"
"17","H","Vil","yes",3,2,2,"1.48","0.19","-0.66"
"18","A","Ala","yes",1,0,1,"2.07","-0.12","-0.79"
"19","A","Osa","yes",3,1,2,"1.46","0.21","-0.58"
"20","A","Cel","yes",3,1,2,"1.21","0.34","-0.24"
"21","H","Leg","yes",1,0,0,"2.28","-0.24","-0.48"
"22","A","Bet","yes",1,0,2,"1.56","0.15","-0.32"
"23","H","Gir","yes",3,3,3,"2.15","-0.17","-0.49"
"24","A","Esp","yes",1,0,1,"1.71","0.07","-0.42"
"25","H","RVa","no",NA,NA,NA,"2.69","-0.46","-0.87"
"26","A","Atl","no",NA,NA,NA,"0.86","0.53","-0.34"
"27","H","Mal","no",NA,NA,NA,"1.94","-0.05","-0.39"
"28","A","Sev","no",NA,NA,NA,"1.87","-0.02","-0.41"
"29","H","Osa","no",NA,NA,NA,"2.29","-0.24","-0.65"
"30","A","Vil","no",NA,NA,NA,"1.57","0.15","-0.51"
"31","H","Ray","no",NA,NA,NA,"1.97","-0.07","-0.57"
"32","A","RMa","no",NA,NA,NA,"0.59","0.68","0.10"
"33","H","Lpa","no",NA,NA,NA,"2.25","-0.22","-0.12"
"34","A","RSo","no",NA,NA,NA,"1.76","0.04","-0.07"
"35","H","Ala","no",NA,NA,NA,"2.33","-0.26","-0.34"
"36","A","Get","no",NA,NA,NA,"2.02","-0.10","-0.43"
"37","A","Val","no",NA,NA,NA,"1.77","0.04","-0.39"
"38","H","FCB","no",NA,NA,NA,"1.12","0.39","0.00"
