"","HA","vs","played","Pts","GD","GS","ePts","sched","cumulative"
"1","H","Ala","yes",3,1,2,"2.24","-0.69","-0.69"
"2","H","Val","yes",3,2,3,"2.44","-0.84","-1.53"
"3","A","Vil","yes",0,-1,3,"0.68","0.48","-1.04"
"4","A","Osa","yes",0,-1,2,"0.70","0.47","-0.57"
"5","H","RVa","yes",3,2,3,"2.70","-1.04","-1.61"
"6","A","Ath","yes",0,-2,1,"0.46","0.65","-0.96"
"7","H","Atl","yes",0,-1,0,"1.34","-0.01","-0.97"
"8","H","Gir","yes",1,0,1,"2.11","-0.59","-1.56"
"9","A","Lpa","yes",3,1,1,"1.19","0.10","-1.46"
"10","H","RMa","yes",0,-1,1,"1.33","-0.00","-1.46"
"11","A","Leg","yes",0,-3,0,"0.94","0.29","-1.17"
"12","H","Get","yes",3,1,1,"1.81","-0.36","-1.53"
"13","A","Bet","yes",1,0,2,"0.44","0.67","-0.87"
"14","H","FCB","yes",1,0,2,"0.83","0.37","-0.49"
"15","A","Esp","yes",0,-2,1,"0.76","0.43","-0.06"
"16","H","Mal","yes",3,2,2,"1.93","-0.45","-0.52"
"17","A","Sev","yes",0,-1,0,"0.89","0.33","-0.19"
"18","H","RSo","yes",3,2,2,"2.01","-0.52","-0.71"
"19","A","Ray","yes",0,-1,1,"0.88","0.34","-0.37"
"20","H","Ath","yes",0,-1,1,"1.50","-0.13","-0.50"
"21","A","Ala","yes",1,0,1,"1.09","0.18","-0.32"
"22","A","Val","yes",0,-1,1,"0.71","0.46","0.14"
"23","H","Bet","yes",3,1,3,"1.84","-0.39","-0.25"
"24","A","Atl","yes",1,0,1,"0.29","0.78","0.54"
"25","H","Osa","yes",3,1,1,"2.22","-0.68","-0.14"
"26","A","Gir","yes",1,0,2,"0.83","0.37","0.23"
"27","H","Leg","yes",3,1,2,"2.29","-0.73","-0.50"
"28","A","RVa","yes",3,1,1,"1.35","-0.02","-0.51"
"29","H","Lpa","yes",1,0,1,"2.22","-0.67","-1.18"
"30","A","Mal","no",NA,NA,NA,"0.67","0.50","-0.69"
"31","H","Esp","no",NA,NA,NA,"2.40","-0.81","-1.49"
"32","A","FCB","no",NA,NA,NA,"0.28","0.79","-0.71"
"33","H","Vil","no",NA,NA,NA,"1.39","-0.05","-0.76"
"34","A","RMa","no",NA,NA,NA,"0.14","0.89","0.14"
"35","H","Sev","no",NA,NA,NA,"1.96","-0.48","-0.34"
"36","A","RSo","no",NA,NA,NA,"0.74","0.44","0.10"
"37","H","Ray","no",NA,NA,NA,"1.81","-0.37","-0.27"
"38","A","Get","no",NA,NA,NA,"0.97","0.27","-0.00"
