"","HA","vs","played","Pts","GD","GS","ePts","sched","cumulative"
"1","A","RVa","yes",0,-1,0,"0.56","0.28","0.28"
"2","H","RSo","yes",0,-1,0,"0.95","-0.22","0.06"
"3","A","Atl","yes",1,0,0,"0.08","0.89","0.95"
"4","H","Ray","yes",3,1,2,"1.25","-0.60","0.35"
"5","H","Ala","yes",3,1,3,"1.87","-1.39","-1.03"
"6","A","RMa","yes",0,-3,1,"0.06","0.92","-0.11"
"7","H","Vil","yes",0,-1,1,"0.64","0.19","0.08"
"8","A","Bet","yes",0,-1,0,"0.22","0.72","0.79"
"9","H","Mal","yes",3,1,2,"0.91","-0.16","0.63"
"10","A","Ath","yes",0,-3,1,"0.14","0.83","1.46"
"11","H","Sev","yes",0,-2,0,"1.54","-0.97","0.49"
"12","A","FCB","yes",0,-2,1,"0.20","0.75","1.24"
"13","A","Gir","yes",0,-3,1,"0.21","0.74","1.98"
"14","H","Cel","yes",3,2,3,"1.81","-1.31","0.66"
"15","A","Get","yes",0,-1,0,"0.50","0.36","1.03"
"16","H","Osa","yes",1,0,0,"1.51","-0.92","0.11"
"17","H","Val","yes",1,0,1,"2.15","-1.74","-1.64"
"18","A","Lpa","yes",0,-1,0,"0.40","0.49","-1.14"
"19","H","Leg","no",NA,NA,NA,"1.51","-0.93","-2.07"
"20","H","RVa","no",NA,NA,NA,"2.08","-1.65","-3.72"
"21","A","Sev","no",NA,NA,NA,"0.26","0.66","-3.06"
"22","H","RMa","no",NA,NA,NA,"0.51","0.35","-2.71"
"23","A","RSo","no",NA,NA,NA,"0.34","0.57","-2.14"
"24","H","Ath","no",NA,NA,NA,"0.82","-0.05","-2.19"
"25","A","Ala","no",NA,NA,NA,"0.31","0.60","-1.58"
"26","A","Vil","no",NA,NA,NA,"0.28","0.64","-0.94"
"27","H","Gir","no",NA,NA,NA,"1.31","-0.68","-1.62"
"28","A","Mal","no",NA,NA,NA,"0.20","0.75","-0.87"
"29","H","Atl","no",NA,NA,NA,"0.49","0.38","-0.49"
"30","A","Ray","no",NA,NA,NA,"0.34","0.57","0.08"
"31","A","Cel","no",NA,NA,NA,"0.16","0.80","0.88"
"32","H","Get","no",NA,NA,NA,"1.98","-1.52","-0.64"
"33","A","Val","no",NA,NA,NA,"0.50","0.36","-0.28"
"34","H","Bet","no",NA,NA,NA,"1.30","-0.66","-0.93"
"35","A","Leg","no",NA,NA,NA,"0.41","0.48","-0.46"
"36","H","FCB","no",NA,NA,NA,"0.45","0.42","-0.04"
"37","A","Osa","no",NA,NA,NA,"0.21","0.73","0.69"
"38","H","Lpa","no",NA,NA,NA,"1.33","-0.69","-0.00"
