"","HA","vs","played","Pts","GD","GS","ePts","sched","cumulative"
"1","A","Osa","yes",1,0,1,"0.76","0.27","0.27"
"2","H","Lpa","yes",3,1,2,"1.21","-0.16","0.11"
"3","A","RVa","yes",1,0,0,"1.30","-0.25","-0.14"
"4","H","Mal","yes",0,-1,0,"0.81","0.22","0.08"
"5","A","Bet","yes",0,-2,0,"0.75","0.28","0.36"
"6","H","Ath","yes",0,-2,0,"0.72","0.31","0.66"
"7","A","Get","yes",1,0,1,"1.33","-0.27","0.39"
"8","A","Ray","yes",1,0,1,"0.96","0.08","0.47"
"9","H","Val","yes",1,0,0,"1.94","-0.86","-0.39"
"10","A","Atl","yes",0,-2,1,"0.26","0.75","0.36"
"11","H","Cel","yes",3,3,3,"1.83","-0.75","-0.39"
"12","A","Gir","yes",0,-1,3,"0.69","0.34","-0.06"
"13","H","Sev","yes",3,1,1,"1.47","-0.41","-0.47"
"14","H","RMa","yes",0,-3,0,"0.43","0.59","0.12"
"15","A","Ala","yes",1,0,1,"1.16","-0.11","0.01"
"16","H","RSo","yes",0,-3,0,"0.81","0.22","0.23"
"17","A","FCB","yes",3,1,1,"0.67","0.36","0.59"
"18","H","Vil","yes",0,-3,2,"0.68","0.35","0.94"
"19","A","Esp","yes",1,0,1,"1.20","-0.15","0.78"
"20","H","Atl","no",NA,NA,NA,"0.39","0.63","1.41"
"21","A","Ath","no",NA,NA,NA,"0.50","0.52","1.93"
"22","H","Ray","no",NA,NA,NA,"1.09","-0.04","1.89"
"23","A","Val","no",NA,NA,NA,"1.40","-0.34","1.55"
"24","H","Ala","no",NA,NA,NA,"1.74","-0.67","0.88"
"25","A","RSo","no",NA,NA,NA,"0.88","0.16","1.04"
"26","H","Get","no",NA,NA,NA,"1.54","-0.47","0.57"
"27","A","Cel","no",NA,NA,NA,"0.53","0.49","1.06"
"28","H","Bet","no",NA,NA,NA,"1.34","-0.29","0.78"
"29","A","RMa","no",NA,NA,NA,"0.21","0.79","1.57"
"30","H","Osa","no",NA,NA,NA,"1.39","-0.33","1.24"
"31","H","FCB","no",NA,NA,NA,"0.38","0.63","1.87"
"32","A","Mal","no",NA,NA,NA,"0.68","0.35","2.22"
"33","H","Gir","no",NA,NA,NA,"1.05","-0.01","2.22"
"34","A","Sev","no",NA,NA,NA,"0.99","0.05","2.26"
"35","H","Esp","no",NA,NA,NA,"2.26","-1.17","1.09"
"36","A","Vil","no",NA,NA,NA,"0.93","0.11","1.20"
"37","A","Lpa","no",NA,NA,NA,"1.37","-0.32","0.89"
"38","H","RVa","no",NA,NA,NA,"1.97","-0.89","0.00"
