"","longnames","Pld","GD","Pts","rank","rank+","ePld","Rate"
"FCB","Barça",23,40,58,1,1,22.9,2.53
"RMa","Real Madrid",23,31,57,2,2,23.1,2.47
"Vil","Villarreal",22,19,45,4,3,21.2,2.12
"Atl","Atleti",23,20,45,3,4,23.9,1.88
"Bet","Real Betis",23,9,38,5,5,22.9,1.66
"Cel","Celta",23,5,33,7,6,23.4,1.41
"Esp","Espanyol",23,-4,34,6,7,24.4,1.39
"RSo","Real Sociedad",23,2,31,8,8,22.7,1.37
"Osa","Osasuna",23,0,29,9,9,23.3,1.24
"Ath","Athletic",23,-8,28,10,10,23.7,1.18
"Ala","Alavés",23,-9,25,14,11,22.6,1.11
"Gir","Girona",23,-15,26,12,12,23.5,1.1
"Mal","Mallorca",23,-9,24,16,13,21.9,1.1
"Get","Getafe",23,-9,26,11,14,23.9,1.09
"Sev","Sevilla FC",23,-8,25,13,15,23.1,1.08
"Elc","Elche",23,-4,24,15,16,22.2,1.08
"Ray","Rayo Vallecano",22,-12,22,18,17,20.5,1.07
"Val","Valencia",23,-14,23,17,18,23.3,0.99
"Lev","Levante",22,-12,18,19,19,21.7,0.83
"Ovi","Real Oviedo",22,-22,16,20,20,20.5,0.78
